"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Statut juridique ou catégorie","Présence d’éléments historiques rédigés","Domaines fonctionnels ou fonctions","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/051546","051546","rico:CorporateBody","Abbaye Notre-Dame de Chelles (Seine-et-Marne, France ; 658?-1790)","Monastère Notre-Dame de Chelles (Seine-et-Marne, France ; 658?-1790) | Abbaye bénédictine royale de Chelles (Seine-et-Marne, France ; 658?-1790) | Abbaye Notre-Dame, Sainte-Croix et Saint-Georges (Chelles, Seine-et-Marne)","0658-01-01","1790-02-13",,"oui","célébration du culte | étude des textes","000000012158607X","Q333867","https://fr.wikipedia.org/wiki/Abbaye_de_Chelles","https://data.bnf.fr/ark:/12148/cb12457264n#about","2017-07-06","2017-09-01"
"agent/FRAN_RI_013-d3m0bo5bn1m--3uc71qbffguy","d3m0bo5bn1m--3uc71qbffguy","rico:CorporateBody","Académie d'agriculture de France","Société nationale d'agriculture de France | Société royale et centrale d'agriculture (France) | Société d'agriculture du département de la Seine | Société d'agriculture de France | Société royale d'agriculture (France) | Société d'agriculture de Paris",,,,"oui",,,,,,,
"agent/005104","005104 | d3m0bo6ap6l--19r6jbolyh0ps","rico:CorporateBody","Académie de France à Rome",,"1666-01-01",,"établissement public à caractère administratif","non",,,,,,"2013-04-23","2025-08-07"
"agent/053407","053407","rico:CorporateBody","Académie de l'eau (France ; 1993-....)","AdE","1993-01-01",,"association","oui","activité associative | aménagement du territoire | communication | développement durable | lutte contre la précarité et l’exclusion | outre-mer | partenariat | relations internationales | santé | ville | écologie | économie | étude","0000000123262714",,,"https://data.bnf.fr/ark:/12148/cb144348188#about","2022-11-15","2022-11-28"
"agent/010000","010000","rico:CorporateBody","Académie des sciences",,"1666-01-01",,,"non",,,,,,"2013-04-23","2013-04-23"
"agent/009999","009999","rico:CorporateBody","Académie des technologies",,"2000-01-01",,"établissement public à caractère administratif","non",,,,,,"2013-04-23","2013-04-23"
"agent/FRAN_RI_013-d-4sb5qi1k2--6ikuparcy4x5","d-4sb5qi1k2--6ikuparcy4x5","rico:CorporateBody","Académie Goncourt","Société Littéraire des Goncourt",,,,"non",,"0000000121514797",,,"https://data.bnf.fr/ark:/12148/cb12013737n#about",,
"agent/050162","050162","rico:CorporateBody","Académie Julian",,"1868-01-01","1959-12-31",,"oui",,,"Q337480","https://fr.wikipedia.org/wiki/Acad%C3%A9mie_Julian",,"2013-10-15",
"agent/FRAN_RI_013-d3m0bo6656c--17bu9svhit9tz","d3m0bo6656c--17bu9svhit9tz","rico:CorporateBody","Accord général sur les tarifs douaniers et le commerce","General Agreement on Tariffs and Trade | GATT",,,,"oui",,,,,,,
"agent/051760","051760","rico:CorporateBody","Accueil cambodgien (France) (1975-....)","AC","1975-04-17",,,"oui","action sociale (1975-04-17/.... ) | activité associative (1975-04-17/.... )",,,,"https://data.bnf.fr/ark:/12148/cb12267202z#about","2017-10-18",
"agent/FRAN_RI_013-d3m0bo5rdxr--hingcirpadlt","d3m0bo5rdxr--hingcirpadlt","rico:CorporateBody","Action directe (France)",,,,,"non",,,,,,,
"agent/FRAN_RI_013-d3m0bo620mb-1ocl5hld8yszy","d3m0bo620mb-1ocl5hld8yszy","rico:CorporateBody","Action française",,,,,"non",,,,,,,
"agent/053298","053298","rico:CorporateBody","Actions culturelles contre les exclusions et les ségrégations (France ; 1982-....)","ACCES | A.C.C.E.S.","1982-01-01",,"association","oui","activité associative | lutte contre la précarité et l’exclusion",,,,"https://data.bnf.fr/ark:/12148/cb123949813#about","2022-07-11","2022-07-18"
"agent/050909","050909","rico:CorporateBody","Actualités sociales hebdomadaires","ASH","1955-01-01",,,"oui",,,,,,"2015-07-20",
"agent/050671","050671","rico:CorporateBody","Act Up-Paris",,"1989-01-01",,,"oui","activité associative (1989-01-01/.... ) | santé (1989-01-01/.... )",,"Q21038638","https://fr.wikipedia.org/wiki/Act_Up-Paris",,"2014-01-22","2014-10-10"
"agent/001984","001984","rico:CorporateBody","Adjoint au contrôleur financier (ministère chargé de la Coopération)",,"1976-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000003","000003","rico:CorporateBody","Administration centrale des ministères chargés des affaires sociales",,"1969-06-22",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-08-09"
"agent/000007","000007","rico:CorporateBody","Administration centrale des ministères de l'Éducation nationale et de l'Enseignement supérieur et de la Recherche",,"2007-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/007226","007226","rico:CorporateBody","Administration centrale du ministère du Tourisme",,"1989-01-01","2005-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-08-01"
"agent/FRAN_RI_013-d3m0bo5s04e-7h9fuajt5qkk","d3m0bo5s04e-7h9fuajt5qkk","rico:CorporateBody","Administration politique d'Etat (URSS)","GPU | Guépéou",,,,"oui",,,,,,,
"agent/FRAN_RI_013-d3m0bo6ae39--1pkhjfe3bmetq","d3m0bo6ae39--1pkhjfe3bmetq","rico:CorporateBody","ADOMA","SONACOTRA | Société nationale de construction de logements pour les travailleurs (France)",,,,"non",,,,,,,
"agent/FRAN_RI_013-d3m0bo6maq5-wt8pkpbm3foc","d3m0bo6maq5-wt8pkpbm3foc","rico:CorporateBody","Aéroports de Paris",,,,,"non",,,,,,,
"agent/009005","009005","rico:CorporateBody","Agence centrale des organismes d'intervention dans le secteur agricole","ACOFA","1983-01-01","2006-12-31","établissement public à caractère administratif","non",,,,,,"2013-04-23","2013-04-23"
"agent/004650","004650","rico:CorporateBody","Agence centrale des organismes de sécurité sociale","ACOSS","1967-01-01",,"établissement public à caractère administratif","non",,,,,,"2013-04-23","2013-04-23"
"agent/053743","053743","rico:CorporateBody","Agence d'architecture de l'église de la Madeleine (Paris, France ; 1808-1845)","Agence d'architecture du temple de la Gloire","1808-01-01","1845-12-31","service extérieur","oui",,,,,,"2024-12-20","2025-01-10"
"agent/050998","050998","rico:CorporateBody","Agence d'architecture de la Sorbonne (Paris, France)",,"1885-01-01","1903-12-31",,"oui","gestion immobilière",,,,,"2015-04-27",
"agent/009958","009958","rico:CorporateBody","Agence d'architecture des Archives nationales (1838-1993 ; Paris)",,"1838-01-01","1993-12-31","service extérieur","oui","gestion immobilière",,,,,"2013-04-23","2015-12-10"
"agent/050949","050949","rico:CorporateBody","Agence d'architecture du Conservatoire national des Arts et Métiers (Paris) (1798-1990)",,"1798-01-01","1990-12-31",,"oui","gestion immobilière",,,,,"2015-02-05","2022-10-10"
"agent/005163","005163","rico:CorporateBody","Agence d'architecture du domaine national du Louvre et des Tuileries",,"1962-01-01","2001-12-31","service extérieur","non",,,,,,"2013-04-23","2015-12-04"
"agent/005435","005435","rico:CorporateBody","Agence d'architecture du Grand Palais",,"1895-01-01","2000-12-31","service extérieur","non",,,,,,"2013-04-23","2013-07-30"
"agent/052129","052129","rico:CorporateBody","Agence d'architecture du palais de Fontainebleau (183..-1991 ; France)","Service des bâtiments du palais de Fontainebleau","1831-01-01","1991-12-31",,"oui","gestion immobilière",,,,,"2018-10-29","2018-12-13"
"agent/052817","052817","rico:CorporateBody","Agence d'architecture du Palais du Trocadéro (Paris ; 1878-1937)",,"1878-01-01","1937-12-31","non identifié","oui",,,,,,"2020-12-02","2021-02-18"
"agent/009960","009960","rico:CorporateBody","Agence d'architecture du Panthéon",,"1757-01-01","1928-12-31","service extérieur","non",,,,,,"2013-04-23","2013-04-23"
"agent/000029","000029","rico:CorporateBody","Agence d'évaluation de la recherche et de l'enseignement supérieur (France)","AERES","2006-01-01","2013-12-31","autorité indépendante","non","enseignement supérieur | recherche | évaluation","0000000121782222","Q2826582","https://fr.wikipedia.org/wiki/Agence_d%27%C3%A9valuation_de_la_recherche_et_de_l%27enseignement_sup%C3%A9rieur",,"2013-04-23","2016-01-28"
"agent/009021","009021","rico:CorporateBody","Agence de développement agricole et rural","ADAR","2003-01-01","2005-12-31","établissement public à caractère administratif","non",,,,,,"2013-04-23","2013-04-23"
"agent/007471","007471","rico:CorporateBody","Agence de l'informatique","Agence pour le développement des applications de l'informatique (ADAI)","1979-01-01","1987-12-31","établissement public à caractère industriel et commercial","non",,,,,,"2013-04-23","2013-04-23"
"agent/007470","007470","rico:CorporateBody","Agence de l'informatique, agence comptable",,"1979-01-01","1987-12-31",,"non",,,,,,"2013-04-23","2013-04-23"
"agent/007468","007468","rico:CorporateBody","Agence de l'informatique, conseil d'administration",,"1979-01-01","1987-12-31","établissement public à caractère industriel et commercial","non",,,,,,"2013-04-23","2013-04-23"
"agent/007469","007469","rico:CorporateBody","Agence de l'informatique, direction administrative et financière",,"1979-01-01","1987-12-31","établissement public à caractère industriel et commercial","non",,,,,,"2013-04-23","2013-04-23"
"agent/003137","003137","rico:CorporateBody","Agence de mutualisation des universités et établissements","AMUE | Agence de modernisation des universités et des établissements d'enseignement supérieur et de recherche | Groupement pour l'informatique de gestion des universités et des établissements (GIGUE)","1992-01-01",,"groupement d’intérêt public","non",,,,,,"2013-04-23","2013-04-23"
"agent/007477","007477","rico:CorporateBody","Agence de prévention et de surveillance des risques miniers","APRSM","2002-01-01","2007-12-31","établissement public à caractère administratif","non",,,,,,"2013-04-23","2013-04-23"
"agent/005283","005283","rico:CorporateBody","Agence des équipements culturels de proximité","Agence des lieux musicaux et de spectacles | Agence nationale pour le développement des petites salles de spectacle","1989-01-01","1997-12-31","association","non",,,,,,"2013-04-23","2013-04-23"
"agent/052096","052096","rico:CorporateBody","Agence française d'information et de communication agricole et rurale (2005-2008)","AFICAR","2005-02-23","2008-09-11",,"oui","agriculture | communication",,,,"https://data.bnf.fr/ark:/12148/cb15871673s#about","2018-08-10","2018-10-03"
"agent/050000","050000","rico:CorporateBody","Agence française de l'adoption (2005-....)","AFA","2005-01-01",,,"oui","action sociale | affaires sociales | relations internationales",,,"https://fr.wikipedia.org/wiki/Agence_fran%C3%A7aise_de_l%27adoption","https://data.bnf.fr/ark:/12148/cb160554052#about","2013-04-30","2022-10-10"
"agent/052888","052888","rico:CorporateBody","Agence française de l'ingénierie touristique (1993-2005)","A.F.I.T. | AFIT","1993-03-16","2005-01-24","groupement d’intérêt public","oui","conseil | tourisme","0000000121694804",,,"https://data.bnf.fr/ark:/12148/cb12402093f#about","2021-01-29","2021-03-04"
"agent/FRAN_RI_013-d3m0bo6td20--1iv905o5cktl4","d3m0bo6td20--1iv905o5cktl4","rico:CorporateBody","Agence française de lutte contre le dopage","Conseil de prévention et de lutte contre le dopage | Laboratoire national de dépistage du dopage",,,,"non",,,,,,,
"agent/004989","004989","rico:CorporateBody","Agence française de lutte contre le sida","AFLS","1989-05-31","1995-06-28","association","oui","santé",,"Q114828318",,,"2013-04-23","2015-09-30"
"agent/004566","004566","rico:CorporateBody","Agence française de sécurité sanitaire de l'environnement et du travail","AFSSET | Agence française de sécurité sanitaire environnementale (AFSSE)","2002-01-01","2010-12-31","établissement public à caractère administratif","non",,,,,,"2013-04-23","2013-04-23"
"agent/009020","009020","rico:CorporateBody","Agence française de sécurité sanitaire des aliments","AFSSA","1998-07-01","2010-12-31","établissement public à caractère administratif","oui","santé | sécurité alimentaire","000000010945658X","Q2826644","https://fr.wikipedia.org/wiki/Agence_fran%C3%A7aise_de_s%C3%A9curit%C3%A9_sanitaire_des_aliments",,"2013-04-23","2015-12-04"
"agent/009034","009034","rico:CorporateBody","Agence française pour le développement et la promotion de l'agriculture biologique","Agence BIO","2001-01-01",,"groupement d’intérêt public","non",,,,,,"2013-04-23","2013-04-23"
"agent/052225","052225","rico:CorporateBody","Agence française pour le développement et la promotion de l’agriculture biologique (2001-....)","Agence BIO | GIP Agence BIO | Groupement d’intérêt public Agence BIO","2001-10-15",,"groupement d’intérêt public","oui","agriculture","0000000121055682",,"https://fr.wikipedia.org/wiki/Agence_fran%C3%A7aise_pour_le_d%C3%A9veloppement_et_la_promotion_de_l%27agriculture_biologique",,"2019-04-01","2019-08-26"
"agent/052525","052525 | d3m0bo5d5bf-nrfvvz9urex0","rico:CorporateBody","Agence France-Presse (Paris ; 1944-…)","AFP","1944-01-01",,,"oui","diffusion | exploitation commerciale","0000000406439815",,"https://fr.wikipedia.org/wiki/Agence_France-Presse","https://data.bnf.fr/ark:/12148/cb118687254#about","2020-06-11","2025-08-07"
"agent/FRAN_RI_013-d3m0bo6fq82--1nivdl0wzfjpm","d3m0bo6fq82--1nivdl0wzfjpm","rico:CorporateBody","Agence internationale de l'énergie atomique","AIEA",,,,"oui",,,,,,,
"agent/010028","010028","rico:CorporateBody","Agence nationale d'accréditation et d'évaluation en santé (France)","ANAES","1996-04-26","2004-12-31","établissement public à caractère administratif","oui","santé","0000000121914037","Q2826655","https://fr.wikipedia.org/wiki/Agence_nationale_d%27accr%C3%A9ditation_et_d%27%C3%A9valuation_en_sant%C3%A9",,"2013-04-23","2015-09-30"
"agent/FRAN_RI_013-d3m0bo6irk8--s6hrt7v82yub","d3m0bo6irk8--s6hrt7v82yub","rico:CorporateBody","Agence nationale de lutte contre l'illettrisme (France)","Groupe permanent de lutte contre l'illettrisme (France)",,,,"oui",,,,,,,
"agent/004562","004562","rico:CorporateBody","Agence nationale de recherches sur le sida et les hépatites virales (1988-....)","ANRS","1988-01-01",,"groupement d’intérêt public","oui","santé","0000000122892722",,,"https://data.bnf.fr/ark:/12148/cb12207046s#about","2013-04-23","2019-05-07"
"agent/009033","009033","rico:CorporateBody","Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail (France)","ANSES","2010-01-01",,"établissement public à caractère administratif","oui",,,"Q392520","https://fr.wikipedia.org/wiki/Agence_nationale_de_s%C3%A9curit%C3%A9_sanitaire_de_l%27alimentation,_de_l%27environnement_et_du_travail",,"2013-04-23","2014-07-07"
"agent/007478","007478 | d3m0bo5m1sy--86cg7z3hqx4q","rico:CorporateBody","Agence nationale des fréquences","ANFR","1997-01-01",,"établissement public à caractère administratif","non",,,,,,"2013-04-23","2025-09-23"
"agent/FRAN_RI_013-d3m0bo6qxi8-156lczgq098rg","d3m0bo6qxi8-156lczgq098rg","rico:CorporateBody","Agence nationale de valorisation de la recherche (France)","ANVAR",,,,"oui",,,,,,,
"agent/053579","053579","rico:CorporateBody","Agence nationale du sport (France ; 2019-….)","ANS","2019-04-24",,"groupement d’intérêt public","oui","financement | sport",,"Q64051480","https://fr.wikipedia.org/wiki/Agence_nationale_du_sport","https://data.bnf.fr/ark:/12148/cb472150157#about","2023-12-01","2023-12-04"
"agent/004930","004930 | d3m0bo6fvrq--9zdafoydj6ds","rico:CorporateBody","Agence nationale pour l'emploi (France)","ANPE","1967-01-01","2008-12-31","établissement public à caractère administratif","oui","emploi","0000000122065102","Q2826690","https://fr.wikipedia.org/wiki/Agence_nationale_pour_l%27emploi",,"2013-04-23","2025-08-07"
