"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Présence d’éléments historiques rédigés","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/051823","051823","rico:Family","Adhémar (famille d' ; 1101-1800)",,"1101-01-01","1800-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_d'Adhémar",,"2017-11-24","2019-12-16"
"agent/052609","052609","rico:Family","Agay (famille d’ ; 1201-....)","Agay de Poligny (famille d’) | Agay de Mutigney (famille d’)","1201-01-01",,"oui",,,,,"2020-07-01","2020-07-07"
"agent/053540","053540","rico:Family","Albert de Luynes (famille d’ ; 1401-....)","Luynes (famille d’Albert de)","1401-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Maison_d%27Albert_de_Luynes",,"2023-10-12","2023-10-23"
"agent/050305","050305","rico:Family","Allemand (famille d')",,"1501-01-01","1700-12-31","oui",,,,,"2013-12-10",
"agent/051816","051816","rico:Family","Andlau (famille d')",,"1601-01-01","1900-12-31","oui",,,"https://fr.wikipedia.org/wiki/Frédéric-Antoine-Marc_d'Andlau | https://fr.wikipedia.org/wiki/Armand-Gaston-Félix_d'Andlau",,"2017-11-21","2018-06-01"
"agent/050110","050110","rico:Family","Argent (famille d')",,"1401-01-01","2000-12-31","oui",,,,,"2013-08-09",
"agent/050272","050272","rico:Family","Aurillac (famille ; 1901-....)",,"1901-01-01",,"oui",,,,,"2014-04-03","2019-12-16"
"agent/050231","050231","rico:Family","Avaray (famille d' ; XVIe-XXe siècles)","Bésiade d’Avaray (famille de) | Béziade d’Avaray (famille de)","1501-01-01","2000-12-31","oui",,,,"https://data.bnf.fr/ark:/12148/cb135142543#about","2013-10-17","2019-04-04"
"agent/050027","050027","rico:Family","Bassompierre (famille de)",,"1101-01-01","1900-12-31","oui",,,,,"2013-10-15",
"agent/051806","051806","rico:Family","Baudéan de Parabère (famille ; 1501-1900)",,"1501-01-01","1900-12-31","oui",,,,,"2017-11-17","2019-12-06"
