"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_013 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence (rico:beginningDate)","Date de fin d’existence (rico:endDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_013-d3m0bo5bn1m--3uc71qbffguy","d3m0bo5bn1m--3uc71qbffguy","CorporateBody","Académie d'agriculture de France","Société nationale d'agriculture de France | Société royale et centrale d'agriculture (France) | Société d'agriculture du département de la Seine | Société d'agriculture de France | Société royale d'agriculture (France) | Société d'agriculture de Paris",,,"Créée en 1761.",,,
"agent/FRAN_RI_013-d-4sb5qi1k2--6ikuparcy4x5","d-4sb5qi1k2--6ikuparcy4x5","CorporateBody","Académie Goncourt","Société Littéraire des Goncourt",,,,"0000000121514797",,"https://data.bnf.fr/ark:/12148/cb12013737n#about"
"agent/FRAN_RI_013-d3m0bo6656c--17bu9svhit9tz","d3m0bo6656c--17bu9svhit9tz","CorporateBody","Accord général sur les tarifs douaniers et le commerce","General Agreement on Tariffs and Trade | GATT",,,"1948-1994. Remplacé par l'Organisation mondiale du commerce.",,,
"agent/FRAN_RI_013-d3m0bo5rdxr--hingcirpadlt","d3m0bo5rdxr--hingcirpadlt","CorporateBody","Action directe (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo620mb-1ocl5hld8yszy","d3m0bo620mb-1ocl5hld8yszy","CorporateBody","Action française",,,,,,,
"agent/FRAN_RI_013-d3m0bo5s04e-7h9fuajt5qkk","d3m0bo5s04e-7h9fuajt5qkk","CorporateBody","Administration politique d'Etat (URSS)","GPU | Guépéou",,,"Police politique soviétique : remplace la Tchéka en 1922 et est absorbée par le NKVD en 1934.",,,
"agent/FRAN_RI_013-d3m0bo6ae39--1pkhjfe3bmetq","d3m0bo6ae39--1pkhjfe3bmetq","CorporateBody","ADOMA","SONACOTRA | Société nationale de construction de logements pour les travailleurs (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo6maq5-wt8pkpbm3foc","d3m0bo6maq5-wt8pkpbm3foc","CorporateBody","Aéroports de Paris",,,,,,,
"agent/FRAN_RI_013-d3m0bo5zpfe-ny0xyiz0nwh","d3m0bo5zpfe-ny0xyiz0nwh","CorporateBody","Agence de l'environnement et de la maîtrise de l'énergie (France)","ADEME",,,"Etablissement public créé en 1991. Résulte de la fusion de l'Agence française pour la maîtrise de l'énergie, de l'Agence pour la qualité de l'air et de l'Agence nationale pour la récupération et l'élimination des déchets.",,,
"agent/FRAN_RI_013-d3m0bo6td20--1iv905o5cktl4","d3m0bo6td20--1iv905o5cktl4","CorporateBody","Agence française de lutte contre le dopage","Conseil de prévention et de lutte contre le dopage | Laboratoire national de dépistage du dopage",,,,,,
