"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_012 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de naissance (rico:birthDate)","Date de décès (rico:deathDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_012-d-dv4qvbi3c--12kd9zcivmhvn","d-dv4qvbi3c--12kd9zcivmhvn","Person","[Chanleux]",,,,"A œuvré à la restauration de la cathédrale de Nancy.",,,,,
"agent/FRAN_RI_012-d-dv4qveg3d--w6vhkmx9u0wb","d-dv4qveg3d--w6vhkmx9u0wb","Person","[Figeure]",,,,"A œuvré à la restauration de la cathédrale de Saint-Flour.",,,,,
"agent/FRAN_RI_012-d-dv4qvemi9--61eb3lfurnuk","d-dv4qvemi9--61eb3lfurnuk","Person","[Jouannin]",,,,"A œuvré à la restauration de la cathédrale de Rouen.",,,,,
"agent/FRAN_RI_012-d-6x6djfj89xp--1ihd9ihiak3b8","d-6x6djfj89xp--1ihd9ihiak3b8","Person","Abadie, Paul (1812-1884)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvesjj-13idlf9jnvxde","d-dv4qvesjj-13idlf9jnvxde","Person","Abadie, Paul (fils) (1812-1884)",,"1812-09-11","1884-03-08","Né le 09/11/1812 à Paris. Décédé le 03/08/1884 à Chatou. Architecte diocésain. A œuvré à la restauration des cathédrales de Paris, Angoulême, Bordeaux, Cahors.","0000000081291620","Q367627","https://fr.wikipedia.org/wiki/Paul_Abadie",,"https://data.bnf.fr/ark:/12148/cb121037457#about"
"agent/FRAN_RI_012-d699mu25tes-41cxnp1rd4ce","d699mu25tes-41cxnp1rd4ce","Person","Abat, Joseph Jérôme (....-1849)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4lh8a-vx7rnlk18v2q","d699mu4lh8a-vx7rnlk18v2q","Person","Abelly, Claude (....-1641)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6m4af-l9jfipr57ewx","d699mu6m4af-l9jfipr57ewx","Person","Abot du Bouchet, Jean Louis (16..-17..)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qveyye--1q16eimf5hg2f","d-dv4qveyye--1q16eimf5hg2f","Person","Abric, Pierre (1800-1871)",,"1800-10-10","1871-01-01","Né le 10/10/1800 à Montpellier. Décédé en 1871 à Montpellier. Architecte du département de l'Hérault. A œuvré à la restauration de la cathédrale de Montpellier.",,"Q21595705",,,
"agent/FRAN_RI_012-d699mu32isu--1dzah6de1xjx5","d699mu32isu--1dzah6de1xjx5","Person","Acigné, Léonard d' (1617-1703)",,,,,,,,,
"agent/FRAN_RI_012-d699mu62nvk-yk9byq36gt0o","d699mu62nvk-yk9byq36gt0o","Person","Adhémar de Monteil, Louis Gaucher (16..-1668)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1ejq1--18uhi6pey2nfm","d699mu1ejq1--18uhi6pey2nfm","Person","Adhémar de Monteil de Grignan, François (1603-1689)",,,,,,,,,
"agent/FRAN_RI_012-d699mu46uqc--1ad8srivy108q","d699mu46uqc--1ad8srivy108q","Person","Adhémar de Monteil de Grignan, Louis Joseph (1650-1722)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvf5qu--wdllxjtp6731","d-dv4qvf5qu--wdllxjtp6731","Person","Agnéty, François Antoine Marie (1793-1845)",,"1793-01-01","1845-01-01","Né en 1793 à Moulins. Décédé en 1845. Architecte du département de l'Allier. A œuvré à la restauration de la cathédrale de Moulins.",,,,,
"agent/FRAN_RI_012-d699mu6msun-8jf38bt8gto","d699mu6msun-8jf38bt8gto","Person","Aigrain, Pierre (1924-2002)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvfbej-9nmeq3pnzjr9","d-dv4qvfbej-9nmeq3pnzjr9","Person","Aiguesparse, Étienne (1834-....)",,"1834-07-10",,"Né le 07/10/1834 à Aurillac. Architecte et inspecteur des travaux diocésains. A œuvré à la restauration de la cathédrale de Saint-Flour.",,"Q21557896",,,
"agent/FRAN_RI_012-d3nyup2s5y-1panu9wracdu1","d3nyup2s5y-1panu9wracdu1","Person","Aiguillon, Marie-Madeleine de Vignerot (1604-1675 , duchesse d')",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn4e4u0-a8s6hy8nkgy6","d3m0bn4e4u0-a8s6hy8nkgy6","Person","Ailly, Victor Thierry d' (16..-17..)","Dailly, Victor-Thierry (16..-17..)",,,,,,,,
"agent/FRAN_RI_012-d699mtzv49d-14jjkljn2mxkg","d699mtzv49d-14jjkljn2mxkg","Person","Alavoine, Jean Antoine (1778-1834)",,"1778-01-04","1834-11-15","Né le 04/01/1778 à Paris. Décédé le 15/11/1834 à Paris. Architecte. A œuvré à la restauration des cathédrales de Besançon, Paris, Rouen, Sées, Bourges, Châlons.","0000000117578720","Q2402612","https://fr.wikipedia.org/wiki/Jean-Antoine_Alavoine",,"https://data.bnf.fr/ark:/12148/cb14954489z#about"
"agent/FRAN_RI_012-d699mu5swhc-15ci7kmkbdz92","d699mu5swhc-15ci7kmkbdz92","Person","Albanel, Christine (1955-....)","Albanel de Lagarde, Christine (1955-....)",,,,,,,"051474",
"agent/FRAN_RI_012-d-4qa4tuige--bzmzoom4dylw","d-4qa4tuige--bzmzoom4dylw","Person","Albe, Antoine Martin Alvarez de Toledo et Guzman d'Avila (1669-1711 , duc d')",,,,,,,,,
"agent/FRAN_RI_012-d699mu5u8f0-i6ykakib54r3","d699mu5u8f0-i6ykakib54r3","Person","Albéniz, Isaac (1860-1909)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3t545-4l6b83772dui","d699mu3t545-4l6b83772dui","Person","Alberg, Emeric Joseph Héribert Wolfgang (17..-18.. , baron d')",,,,,,,,,
"agent/FRAN_RI_012-d699mu1mwer--12ak70c08y7x3","d699mu1mwer--12ak70c08y7x3","Person","Albert de Luynes, Charles Hercule d' (1674-1734)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3hlji--d226crey81r8","d699mu3hlji--d226crey81r8","Person","Albertini, Georges (1911-1983)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2iwuc--1irfho0cb21mv","d699mu2iwuc--1irfho0cb21mv","Person","Albret, François Alexandre d' (16..-1648)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn47ni0-qjeqhzd46q8z","d3m0bn47ni0-qjeqhzd46q8z","Person","Aldring, C. (17..-18..?)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0rfe0-1l64demgmcv5l","d699mu0rfe0-1l64demgmcv5l","Person","Alembert, D' (1717-1783)","Le Rond, Jean (1717-1783)",,,,,,,,
"agent/FRAN_RI_012-d699mu2pu10--18qvtnp07xo1e","d699mu2pu10--18qvtnp07xo1e","Person","Alesso d'Eragny, François d' (1643-1691)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn4oefy-1dxaznizc9i8h","d3m0bn4oefy-1dxaznizc9i8h","Person","Allard, Abraham (1676 ?-1725)",,,,,,,,,
"agent/FRAN_RI_012-d699mu637ae-xvvzrjeft3a2","d699mu637ae-xvvzrjeft3a2","Person","Allègre, Claude (1937-....)",,,,,,,,"051381",
"agent/FRAN_RI_012-d699mu4izau--yhxrla8vcuaa","d699mu4izau--yhxrla8vcuaa","Person","Alliot-Marie, Michèle (1946-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu37d41--75x6sqj0n0er","d699mu37d41--75x6sqj0n0er","Person","Ameline, Nicole (1952-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5zraf--1t2cwnv4k8ajj","d699mu5zraf--1t2cwnv4k8ajj","Person","Amelot, Jacques Charles (1633-1671)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0an8r--gvjalh3m8f0x","d699mu0an8r--gvjalh3m8f0x","Person","Amelot de Chaillou, Antoine Jean (1732-1795)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn3eqt7-ganbj9id7bir","d3m0bn3eqt7-ganbj9id7bir","Person","Ameti, Giacomo Filippi (16..-16..)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzw3io--cqkoproauu7i","d699mtzw3io--cqkoproauu7i","Person","Amyot, Jacques (1513-1593)",,,,,,,,,
"agent/FRAN_RI_012-d699mu04rap-meap2eo2tlm8","d699mu04rap-meap2eo2tlm8","Person","Ancel-Desgranges, Michel (1649-1731)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5vljh--yegmdf555qe0","d699mu5vljh--yegmdf555qe0","Person","André, Fortuné Joseph d' (1800-1867)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvfozf--gj6acsxl6dva","d-dv4qvfozf--gj6acsxl6dva","Person","André, Louis Jules (1819-1890)",,"1819-06-24","1890-01-30","Né le 24/06/1819 à Paris. Décédé le 30/01/1890 à Paris. Architecte diocésain. A œuvré à la restauration de la cathédrale d'Ajaccio.",,"Q3260671","https://fr.wikipedia.org/wiki/Louis-Jules_Andr%C3%A9",,"https://data.bnf.fr/ark:/12148/cb16296652j#about"
"agent/FRAN_RI_012-d3m0bn38bgi-1nonmk78p7uz","d3m0bn38bgi-1nonmk78p7uz","Person","André, Michèle (1947-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu42lta--dsydrzizj07v","d699mu42lta--dsydrzizj07v","Person","Anffrie de Chaulieu, Guillaume (1636 ?-1720)",,,,,,,,,
