identifiantNotice	typeEntite	formeAutoriseeNomEntite	dateDeDebut	dateDeFin	typeDeDate	statutJuridique	ISNI	Wikipedia	numeroDeNoticeAutoriteBnF	PresenceElementsBio	ActiviteOuProfessionPersonne	DomaineOuActionCollectivite	dateCreation	dateDerniereMiseAjour
FRAN_NP_000001	collectivité	Présidence de la République	1871		dates d'existence	présidence de la république				non			2015-12-04	
FRAN_NP_000002	collectivité	Premier ministre	1959		dates d'existence					non			2013-04-23	2015-12-04
FRAN_NP_000003	collectivité	Administration centrale des ministères chargés des affaires sociales	1969		dates d'existence	service d'administration centrale				non			2013-04-23	2013-08-09
FRAN_NP_000004	collectivité	Ministère de l'Agriculture	1881		dates d'existence	ministère				non			2015-12-04	
FRAN_NP_000005	collectivité	France. Ministère de la Culture et de la Communication (1959-....)	1959		dates d'existence	ministère		https://fr.wikipedia.org/wiki/Minist%C3%A8re_de_la_Culture_%28France%29	http://catalogue.bnf.fr/ark:/12148/cb11868511w	oui		action gouvernementale | aide de l'Etat | communication | contrôle de l'exercice professionnel | culture | inspection	2013-04-23	2017-04-28
FRAN_NP_000006	collectivité	Ministère de l'Écologie et du Développement durable	2007		dates d'existence	ministère				non			2013-04-23	
FRAN_NP_000007	collectivité	Administration centrale des ministères de l'Éducation nationale et de l'Enseignement supérieur et de la Recherche	2007		dates d'existence	service d'administration centrale				non			2013-04-23	
FRAN_NP_000008	collectivité	Ministère de l'Intérieur	1790		dates d'existence	ministère				non			2015-12-04	
FRAN_NP_000009	collectivité	Ministère de la Justice	1790		dates d'existence	ministère				non			2015-12-04	
FRAN_NP_000010	collectivité	Cabinet de Louis Jacquinot, ministre d'État	1958	1961	dates d'existence	cabinet ministériel				non			2013-04-23	
FRAN_NP_000011	collectivité	Ministère des Affaires sociales (1966-1969)	1966	1969	dates d'existence	ministère				non			2013-04-23	
FRAN_NP_000012	collectivité	Ministère des Affaires sociales (1972-1973)	1972	1973	dates d'existence	ministère				non			2013-04-23	
FRAN_NP_000013	collectivité	Ministère des Affaires sociales et de la Solidarité nationale	1982	1986	dates d'existence	ministère				non			2013-04-23	
FRAN_NP_000014	collectivité	Cabinet de Jean-Claude Gaudin, ministre de l'Aménagement du territoire, de la Ville et de l'Intégration	1995	1997	dates d'existence	cabinet ministériel				non			2013-04-23	
FRAN_NP_000015	collectivité	Ministère des Droits de la femme	1981	1986	dates d'existence	ministère				non			2013-04-23	
FRAN_NP_000016	collectivité	France. Ministère de l'Éducation nationale (1828-....)	1828		dates d'existence	ministère			http://catalogue.bnf.fr/ark:/12148/cb122073996	oui		éducation nationale | arts (1828-02-10/1959-12-31) | jeunesse (1828-02-10/1966-12-31) | sport (1828-02-10/1966-12-31)	2013-04-23	2017-03-17
FRAN_NP_000017	collectivité	Ministère de l'Enseignement supérieur et de la Recherche	2007		dates d'existence	ministère				non			2013-04-23	2013-05-30
FRAN_NP_000018	collectivité	Cabinet du ministre chargé de la Fonction publique	1967		dates d'existence	cabinet ministériel				non			2013-04-23	2013-08-09
FRAN_NP_000019	collectivité	Cabinet d'Alain Peyrefitte, ministre de l'Information	1962	1966	dates d'existence	cabinet ministériel				non			2013-04-23	
FRAN_NP_000020	collectivité	Ministère de la Jeunesse et des Sports	1966	2007	dates d'existence	ministère				non			2013-04-23	2015-12-04
FRAN_NP_000021	collectivité	Cabinet d'Edgard Pisani, ministre chargé de la Nouvelle-Calédonie	1985	1985	dates d'existence	cabinet ministériel				non			2013-04-23	
FRAN_NP_000023	collectivité	Ministère du Plan et de l'Aménagement du territoire	1976	1986	dates d'existence	ministère				non			2013-04-23	2013-10-07
FRAN_NP_000024	collectivité	Ministère des Relations avec le Parlement	1967		dates d'existence	ministère				non			2013-04-23	
FRAN_NP_000025	collectivité	Ministère de la Santé et des Solidarités	2005	2007	dates d'existence	ministère				non			2013-04-23	
FRAN_NP_000026	collectivité	Cabinet de Colette Codaccioni, ministre de la Solidarité entre les générations	1995	1995	dates d'existence	cabinet ministériel				non			2013-04-23	
FRAN_NP_000027	collectivité	Ministère du Travail (2002-2010)	2002	2010	dates d'existence	ministère				non			2013-04-23	
FRAN_NP_000028	collectivité	Cabinet de Michel Delebarre, ministre d'État, ministre de la Ville, puis ministre de la Ville et de l'Aménagement du territoire	1990	1992	dates d'existence	cabinet ministériel				non			2013-04-23	
FRAN_NP_000029	collectivité	Agence d'évaluation de la recherche et de l'enseignement supérieur (France)	2006	2013	dates d'existence	autorité indépendante	ISNI 0000 0001 2178 2222		Notice d'autorité BnF : http://catalogue.bnf.fr/ark:/12148/cb15732605j	non		enseignement supérieur | recherche | évaluation	2013-04-23	2016-01-28
FRAN_NP_000030	collectivité	Autorité de régulation des communications électroniques et des postes	1997		dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000031	collectivité	Comité des finances locales	1979		dates d'existence					non			2013-04-23	
FRAN_NP_000032	collectivité	Commission d'accès aux documents administratifs	1978		dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000033	collectivité	France. Commission nationale de contrôle de la campagne en vue de l’élection du président de la République (1964-....)	1964		dates d'existence	autorité indépendante		https://fr.wikipedia.org/wiki/Commission_nationale_de_contr%C3%B4le_de_la_campagne_%C3%A9lectorale_relative_%C3%A0_l%27%C3%A9lection_du_pr%C3%A9sident_de_la_R%C3%A9publique		oui			2015-09-30	2018-02-13
FRAN_NP_000034	collectivité	Commission nationale de l'informatique et des libertés	1978		dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000035	collectivité	Commission nationale des comptes de campagne et des financements politiques	1990		dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000036	collectivité	Commission paritaire des publications et agences de presse	1950		dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000037	collectivité	Commission pour la transparence et le pluralisme de la presse	1985	1986	dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000038	collectivité	Commission pour la transparence financière de la vie politique	1988	2013	dates d'existence	autorité indépendante				non			2013-04-23	2014-04-16
FRAN_NP_000039	collectivité	Conseil national de la communication audiovisuelle	1982	1986	dates d'existence	organisme consultatif				non			2013-04-23	
FRAN_NP_000040	collectivité	Conseil supérieur de l'audiovisuel	1989		dates d'existence	autorité indépendante				non			2015-12-04	
FRAN_NP_000041	collectivité	Conseil supérieur de la fonction publique territoriale	1984		dates d'existence	organisme consultatif				non			2013-04-23	
FRAN_NP_000042	collectivité	Conseil supérieur de la magistrature	1883		dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000043	collectivité	Défenseur des enfants	2000	2011	dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000044	collectivité	Haut Comité de la langue française	1966	1984	dates d'existence	organisme consultatif				non			2013-04-23	
FRAN_NP_000045	collectivité	Haut Conseil du commissariat aux comptes	2003		dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000046	collectivité	Haute Autorité de santé	2005		dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000047	collectivité	Médiateur de la République	1973	2011	dates d'existence	autorité indépendante				non			2013-04-23	
FRAN_NP_000048	collectivité	Centre national de la recherche scientifique	1939		dates d'existence	établissement public à caractère scientifique et technologique				non			2013-04-23	2013-07-25
FRAN_NP_000049	collectivité	Chancellerie des universités de Paris	1972		dates d'existence	établissement public à caractère administratif				non			2013-04-23	
FRAN_NP_000050	collectivité	Délégation interministérielle à l'aménagement du territoire et à l'attractivité régionale	1963		dates d'existence	service d'administration centrale				non			2015-12-08	
FRAN_NP_000051	collectivité	France. Ministère des affaires culturelles. Direction de l'architecture (1959-1978)	1959	1978	dates d'existence	service d'administration centrale	ISNI 0000 0001 2358 8976		http://catalogue.bnf.fr/ark:/12148/cb161793834	oui		culture | urbanisme | ville	2013-04-23	2017-04-04
FRAN_NP_000052	collectivité	France. Direction générale de l'Aviation civile (1946-....)	1946		dates d'existence	service d'administration centrale	0000 0000 8777 2804 | 0000 0001 0726 4250	https://fr.wikipedia.org/wiki/Direction_générale_de_l'Aviation_civile	https://catalogue.bnf.fr/ark:/12148/cb11863938t https://catalogue.bnf.fr/ark:/12148/cb11930527w	oui		transports	2013-04-23	2019-08-13
FRAN_NP_000053	collectivité	Rectorat de l'académie de Paris	1821		dates d'existence	service déconcentré de l'etat				non			2013-04-23	
FRAN_NP_000054	collectivité	Service du courrier (présidence de la République)	1981	1991	dates d'existence	présidence de la république				non			2015-12-04	
FRAN_NP_000055	collectivité	Service des décorations (présidence de la République)	1959		dates d'existence	présidence de la république				non			2013-04-23	
FRAN_NP_000056	collectivité	Directeur du cabinet (présidence de la République)	1959	2007	dates d'existence	présidence de la république				non			2013-04-23	
FRAN_NP_000057	collectivité	Service des élus et associations (présidence de la République)	1959	1991	dates d'existence	présidence de la république				non			2013-04-23	
FRAN_NP_000058	collectivité	Service social (présidence de la République)	1981		dates d'existence	présidence de la république				non			2013-04-23	
FRAN_NP_000059	collectivité	Cabinet du président de la République	1871		dates d'existence	présidence de la république				non			2015-12-04	2018-04-30
FRAN_NP_000060	collectivité	Service des affaires sociales (cabinet de l'épouse du président de la République)	1947		dates d'existence	présidence de la république				non			2013-04-23	
FRAN_NP_000061	collectivité	Service du courrier de l'épouse du président de la République	1959		dates d'existence	présidence de la république				non			2013-04-23	
FRAN_NP_000062	collectivité	Cabinet de l'épouse du président de la République	1959		dates d'existence	présidence de la république				non			2013-04-23	
FRAN_NP_000063	collectivité	Haut Conseil de la francophonie	1984	2002	dates d'existence	organisme consultatif				non			2013-04-23	
FRAN_NP_000064	collectivité	Organismes rattachés directement (présidence de la République)	1959		dates d'existence	présidence de la république				non			2013-04-23	
FRAN_NP_000066	collectivité	Assemblée nationale	1946		dates d'existence					non			2015-09-30	
FRAN_NP_000067	collectivité	Sénat	1875		dates d'existence					non			2013-04-23	
FRAN_NP_000068	collectivité	Parlement	1946		dates d'existence					non			2013-04-23	
FRAN_NP_000069	collectivité	Commission nationale de recensement général des votes (élections européennes)	1979		dates d'existence					non			2015-09-30	
FRAN_NP_000070	collectivité	Conseil d'État (1799-....). Bureau d'aide juridictionnelle	1976		dates d'existence	autorité indépendante				non			2013-04-23	2015-09-30
FRAN_NP_000071	collectivité	France. Conseil d'État (1799-....). Commission spéciale de cassation des pensions (1935-2002)	1935	2002	dates d'existence	juridiction				oui		justice	2015-09-30	2017-08-18
FRAN_NP_000072	collectivité	France. Comité juridique (1943-1945)	1943	1945	dates d'existence	autorité indépendante				oui		conseil	2013-04-23	2016-06-03
FRAN_NP_000073	collectivité	France. Conseil d'État. Section du Contentieux (1872-....)	1872		dates d'existence	juridiction			https://catalogue.bnf.fr/ark:/12148/cb13607599k	oui		contentieux | justice	2013-04-23	2019-12-06
FRAN_NP_000074	collectivité	Conseil d'État (1799-....). Commission permanente (1945-....)	1945		dates d'existence	autorité indépendante				oui			2013-04-23	2014-07-03
FRAN_NP_000075	collectivité	France. Conseil des prises (1800-1965)	1800	1965	dates d'existence	juridiction		https://fr.wikipedia.org/wiki/Conseil_des_prises		oui		contentieux | justice	2013-04-23	2017-08-18
FRAN_NP_000076	collectivité	France. Commission supérieure de cassation des dommages de guerre (1946-1963)	1946	1963	dates d'existence	juridiction				oui		contentieux | justice	2015-09-30	2019-12-06
FRAN_NP_000077	collectivité	Conseil d'État (1799-....). Formations administratives (1872-....)	1872		dates d'existence	autorité indépendante				non			2013-04-23	2015-09-30
FRAN_NP_000078	collectivité	Tribunal des conflits	1872		dates d'existence	juridiction				non			2015-09-30	
FRAN_NP_000079	collectivité	Tribunal des prises	1976		dates d'existence	juridiction				non			2013-04-23	
FRAN_NP_000080	collectivité	Conseil d'État	1799		dates d'existence	autorité indépendante				oui			2013-04-23	2013-10-07
FRAN_NP_000081	collectivité	Cours d'appel d'Algérie et d'Afrique	1962	1972	dates d'existence	juridiction				non			2013-04-23	
FRAN_NP_000082	collectivité	Cour de cassation, service de l'aide judiciaire	1976		dates d'existence	juridiction				non			2013-04-23	
FRAN_NP_000083	collectivité	Commission nationale d'indemnisation des détentions provisoires	1971	2000	dates d'existence	commission juridictionnelle				non			2013-04-23	
