"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"documentaryFormType/FRAN_RI_001-d3nd89amxp--lr0xlor5wm53","d3nd89amxp--lr0xlor5wm53","DocumentaryFormType","accord","transaction | concordat | accommodement | compromis",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89gsbd--7jyxbksw47a6","d3nd89gsbd--7jyxbksw47a6","DocumentaryFormType","accord bilatéral",,,,"documentaryFormType/FRAN_RI_001-d3nd89fuos-1vonceo73v7dz","accord international",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89hpq6--ykqozermv564","d3nd89hpq6--ykqozermv564","DocumentaryFormType","accord commercial",,,,"documentaryFormType/FRAN_RI_001-d3nd89fuos-1vonceo73v7dz","accord international",,,,,,,,
"documentaryFormType/FRAN_RI_001-d699mmxork4-13sopuexhsw4","d699mmxork4-13sopuexhsw4","DocumentaryFormType","accord de travail","accord de branche | accord collectif de travail","Code du travail art. L 2221-1 et 2221-2.",,"documentaryFormType/FRAN_RI_001-d3nd89amxp--lr0xlor5wm53","accord",,"documentaryFormType/FRAN_RI_001-d3nd8bjtpg--fuudgtkg2jxu",,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89inkj-17j8bdf8gjgqx","d3nd89inkj-17j8bdf8gjgqx","DocumentaryFormType","accord économique",,,,"documentaryFormType/FRAN_RI_001-d3nd89fuos-1vonceo73v7dz","accord international",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89fuos-1vonceo73v7dz","d3nd89fuos-1vonceo73v7dz","DocumentaryFormType","accord international","convention internationale",,,"documentaryFormType/FRAN_RI_001-d3nd89amxp--lr0xlor5wm53","accord",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89kj1g-1sbn6fcuvb0xq","d3nd89kj1g-1sbn6fcuvb0xq","DocumentaryFormType","acte d'état civil","acte de naissance | acte de décès | acte de mariage | baptistaire | acte civil public",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8f9b6b-1ezu1k5fbcyoz","d3nd8f9b6b-1ezu1k5fbcyoz","DocumentaryFormType","acte de société","dissolution de société | acte constitutif de société","Constitution de société.",,"documentaryFormType/FRAN_RI_001-d3nd8f8hn6-1cv55keqf50vh","statuts",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89lgo1-7iazj0zqu03g","d3nd89lgo1-7iazj0zqu03g","DocumentaryFormType","acte de vente","acte d'achat | acquisition | adjudication",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89o8wi--1rme6ynsra3qz","d3nd89o8wi--1rme6ynsra3qz","DocumentaryFormType","acte imparfait",,"Acte préparé par un notaire, mais n’ayant pas abouti de manière définitive, en général de par la volonté des parties, ayant renoncé à la transaction avant que l’acte soit « parfait ». (source : Département du Minutier central des notaires de Paris)",,"documentaryFormType/FRAN_RI_001-d3nd89nbho-16u3osxzn3rkw","acte notarié",,,,,,,,"02/05/2022 : définition modifiée le [02/05/2022]"
