"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"recordSetType/FRAN_RI_001-d3nd8dmdur--4q7snyt2e84b","d3nd8dmdur--4q7snyt2e84b","RecordSetType","appel d’offres","dossier d’appel d’offres",,,"recordSetType/FRAN_RI_001-d3nd8dlkjd--1kmymitgwuigp","marché public",,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cdd29-1ri1we8vt9ce1","d3nd8cdd29-1ri1we8vt9ce1","RecordSetType","autorisation de mise sur le marché","AMM","Concerne les médicaments.",,"recordSetType/FRAN_RI_001-d3nd8cci0s-1bqyyf13o9pme","dossier d’homologation",,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8dn6yd--1b2eusmx6ugdx","d3nd8dn6yd--1b2eusmx6ugdx","RecordSetType","cahier des charges",,,,"recordSetType/FRAN_RI_001-d3nd8dlkjd--1kmymitgwuigp","marché public",,,,,,,,
"recordSetType/FRAN_RI_001-d699mmxhwr0-4f15mrcy9b9z","d699mmxhwr0-4f15mrcy9b9z","RecordSetType","correspondance","courrier",,,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8ca17m--qyn56zgp674b","d3nd8ca17m--qyn56zgp674b","RecordSetType","documentation",,"Terme employé également dans les référentiels Matières et Fonctions.",,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8ckskl-1fpbimrh531ry","d3nd8ckskl-1fpbimrh531ry","RecordSetType","dossier de candidature",,,,"recordSetType/FRAN_RI_001-d3nd8cjyto-q7qr9ug1zqo4","dossier individuel",,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cllvy-1f7jrhcdttmq4","d3nd8cllvy-1f7jrhcdttmq4","RecordSetType","dossier de carrière",,,,"recordSetType/FRAN_RI_001-d3nd8cjyto-q7qr9ug1zqo4","dossier individuel",,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8ce65v--xe8ix0edeukt","d3nd8ce65v--xe8ix0edeukt","RecordSetType","dossier de client",,,,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8do09r--olb51b53051g","d3nd8do09r--olb51b53051g","RecordSetType","dossier de consultation des entreprises",,,,"recordSetType/FRAN_RI_001-d3nd8dlkjd--1kmymitgwuigp","marché public",,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cmff3-1ud5h3oa1sps6","d3nd8cmff3-1ud5h3oa1sps6","RecordSetType","dossier de pension",,,,"recordSetType/FRAN_RI_001-d3nd8cjyto-q7qr9ug1zqo4","dossier individuel",,,,,,,,
