"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"recordState/FRAN_RI_001-d-89k2fzkds-1rmtuqnnbvqit","d-89k2fzkds-1rmtuqnnbvqit","RecordState","ampliation",,"« Une ampliation est une expédition en forme spécialement solennelle d'un acte dont on a établi une autre expédition en forme plus simple. A l'époque contemporaine, le mot désigne, au contraire, une expédition, destinée à l'intéressé, d'un acte comportant des mesures le concernant, souvent établie sous la forme d'un extrait d'une minute originale, laquelle est conservée dans les archives du service d'origine. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 40.)",,,,,,"http://www.cei.lmu.de/VID/#VID_99",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-8ei2cwezk-1scr9ty21hz3i","d-8ei2cwezk-1scr9ty21hz3i","RecordState","brouillard",,"« Un brouillard est la première rédaction d'un registre de comptabilité, généralement tenu au fur et à mesure des opérations et qui, étant susceptible de corrections, permet l'établissement du livre de comptes définitif.  » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 88.)",,,,,,"http://www.cei.lmu.de/VID/#VID_351",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-8gu34w3wc-i08b51usfmd0","d-8gu34w3wc-i08b51usfmd0","RecordState","brouillon","premier jet","« Un brouillon ou premier jet est un projet informel de rédaction d'un texte, auquel peuvent être ensuite apportées toutes les corrections nécessaires. Il peut correspondre à un acte qui finalement n'a pas été dressé ou l'a été avec un contenu ou dans une forme différente. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 88.)",,,,,,"http://www.cei.lmu.de/VID/#VID_349",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-8k77oqc4c-1war2n2wabgsr","d-8k77oqc4c-1war2n2wabgsr","RecordState","copie",,"« Une copie (lat.: copia, exemplum, transcriptum, transumptum) est une transcription littérale d'un texte antérieur. Une copie peut être authentique ou informe. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 32.)",,,,,,"http://www.cei.lmu.de/VID/#VID_53",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d3m00w6tom1--17yz38y8bszt8","d3m00w6tom1--17yz38y8bszt8","RecordState","copie authentique","expédition juridictionnelle | expédition notariale","« Une copie authentique (lat.: copia authentica) est une copie qui, établie dans une certaine forme, comporte des éléments de validation destinés à lui donner pleine foi. Cette marque d’authenticité juridique ne préjuge nullement de la sincérité de la pièce copiée. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 32.)",,"recordState/FRAN_RI_001-d-8k77oqc4c-1war2n2wabgsr","copie",,"recordState/FRAN_RI_001-d-9gwynw27k--10mwh2owqrqdi | recordState/FRAN_RI_001-d-2k426mipg--o7n1lnwbqn9d","http://www.cei.lmu.de/VID/#VID_54",,,,,"2024 : définition et relation VID préparées par J.-F. Moufflet [2024] ; ajoutées par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-8rcewtjuo-1iih9sd7ft00z","d-8rcewtjuo-1iih9sd7ft00z","RecordState","copie collationnée",,"« Une copie collationnée est la transcription d'un document que le copiste atteste avoir dûment conférée mot à mot (lat.: collatio) au modèle qu'il reproduit sans pour autant avoir autorité pour délivrer un certificat d'authenticité. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 33.)",,"recordState/FRAN_RI_001-d-8k77oqc4c-1war2n2wabgsr","copie",,,"http://www.cei.lmu.de/VID/#VID_63",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-95syv5nvo-usflanrzxtkg","d-95syv5nvo-usflanrzxtkg","RecordState","copie conforme","copie certifiée","« Une copie conforme ou certifiée est une copie dont une autorité publique certifie la conformité matérielle du texte avec celui du document qui a servi à la transcription. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 33.)",,"recordState/FRAN_RI_001-d3m00w6tom1--17yz38y8bszt8","copie authentique",,,"http://www.cei.lmu.de/VID/#VID_62",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-97at5bjsw--u688kxdppcy9","d-97at5bjsw--u688kxdppcy9","RecordState","copie de chancellerie",,"« Une copie de chancellerie est la copie d'un original, établie par la chancellerie même qui a procédé à l'expédition de cet original. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 33.)",,"recordState/FRAN_RI_001-d3m00w6tom1--17yz38y8bszt8","copie authentique",,,"http://www.cei.lmu.de/VID/#VID_57",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-985uqpl3s-1k3i4yfl1myau","d-985uqpl3s-1k3i4yfl1myau","RecordState","copie enregistrée",,"« Une copie enregistrée (lat. : copia registrata, litterae registratae, registrum) est une transcription faite par un service qui a autorité pour enregistrer les actes et leur donner ainsi un caractère d'authenticité. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 33.)",,"recordState/FRAN_RI_001-d3m00w6tom1--17yz38y8bszt8","copie authentique",,,"http://www.cei.lmu.de/VID/#VID_58",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-8s25ss3us-1b1easskq1gz2","d-8s25ss3us-1b1easskq1gz2","RecordState","copie figurée",,"« Une copie figurée est une copie dont l'auteur s'efforce de reproduire matériellement l'écriture et (ou), en tout ou en partie, la disposition d'un*original antérieur, notamment certains éléments de celui-ci (caractères spéciaux, souscriptions, éléments figurés tels que monogramme ou rota). » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 33.)",,"recordState/FRAN_RI_001-d-8k77oqc4c-1war2n2wabgsr","copie",,,"http://www.cei.lmu.de/VID/#VID_56",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
