"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"carrierType/FRAN_RI_002-d3nd9y5u2n-1xzki8sl1gotg","d3nd9y5u2n-1xzki8sl1gotg","CarrierType","bande magnétique",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9xqsl6--1i2m77rgllo7c","d3nd9xqsl6--1i2m77rgllo7c","CarrierType","bande sonore",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9ya7v2-1mbrwg1qcmax8","d3nd9ya7v2-1mbrwg1qcmax8","CarrierType","bois",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9y465c-1roarykontz6f","d3nd9y465c-1roarykontz6f","CarrierType","carte perforée",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9yhu9q--1xxwk4uknurum","d3nd9yhu9q--1xxwk4uknurum","CarrierType","carton",,,,"carrierType/FRAN_RI_002-d3nd9yh03b--1lx80czdt83ae","papier",,,,,,,,
"carrierType/FRAN_RI_002-d3nd9xrmc2--1la2ksxvxfm7u","d3nd9xrmc2--1la2ksxvxfm7u","CarrierType","cassette audio",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9y4zw8--1cka6o7kme4au","d3nd9y4zw8--1cka6o7kme4au","CarrierType","cd-rom",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9yb2os-13bce7gkn2yv1","d3nd9yb2os-13bce7gkn2yv1","CarrierType","cire",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9y6ne1--1dp9ldvaf0ypx","d3nd9y6ne1--1dp9ldvaf0ypx","CarrierType","clé usb",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9xsgy0-1rufo8atcgi3c","d3nd9xsgy0-1rufo8atcgi3c","CarrierType","diapositive",,,,,,,,,,,,,
"carrierType/FRAN_RI_002-d3nd9xu4nk--6jvte7hqi4co","d3nd9xu4nk--6jvte7hqi4co","CarrierType","disque 33 tours",,,,"carrierType/FRAN_RI_002-d3nd9xtawo-1cju6vmj9nwi","disque vinyl",,,,,,,,
"carrierType/FRAN_RI_002-d3nd9xuyeh-ixoxypjcl6r7","d3nd9xuyeh-ixoxypjcl6r7","CarrierType","disque 45 tours",,,,"carrierType/FRAN_RI_002-d3nd9xtawo-1cju6vmj9nwi","disque vinyl",,,,,,,,
