"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"thing/FRAN_RI_004-d5b8ibptlc-1crwboq1incbc","d5b8ibptlc-1crwboq1incbc","Thing","1% artistique","1% culturel","Procédure de soutien à la création créée en 1951.",,"thing/FRAN_RI_004-d3ndfqqegf--1qsozwqovncyz","politique culturelle",,"thing/FRAN_RI_004-d3ndf6jvjk--8uifctgtho9j",,,,,,
"thing/FRAN_RI_004-d3ndfa7w77-xv731cmg9d88","d3ndfa7w77-xv731cmg9d88","Thing","abattage",,,,"thing/FRAN_RI_004-d3ndfa7cd9--16zuom11frmjt","boucherie",,,,,,,,
"thing/FRAN_RI_004-d5b8ibhft5-1q9clpkiub8hu","d5b8ibhft5-1q9clpkiub8hu","Thing","abattoir",,"Édifice ou partie d'édifice destiné à l'abattage des animaux de boucherie. (Source : http://data.culture.fr/thesaurus/resource/ark:/67717/T96-604)",,"thing/FRAN_RI_004-d3ndfa7cd9--16zuom11frmjt","boucherie",,,"http://data.bnf.fr/ark:/12148/cb11936410b | http://vocab.getty.edu/aat/300006354 | http://fr.dbpedia.org/resource/Abattoir",,,,,"2020-06-11 : Définition ajoutée le [2020-06-11]"
"thing/FRAN_RI_004-d3ndfso78e-1c7ly4xndlqv8","d3ndfso78e-1c7ly4xndlqv8","Thing","abbaye","bâtiment monastique | bâtiment conventuel | monastère | couvent","Établissement monastique sous le gouvernement d'un abbé ou d'une abbesse. L'abbaye-mère est une abbaye à partir de laquelle ont été fondées d'autres abbayes. (Source : http://data.culture.fr/thesaurus/resource/ark:/67717/T96-99)",,"thing/FRAN_RI_004-d5b8ib4n5q-1u0p1lk3syzxb","édifice cultuel",,,"http://vocab.getty.edu/aat/300000642 | http://data.bnf.fr/ark:/12148/cb11934704r | http://fr.dbpedia.org/resource/Abbaye",,,,,"2020-06-11 : Définition ajoutée le [2020-06-11]"
"thing/FRAN_RI_004-d3ndf1i2id--hzgzrrvu7inn","d3ndf1i2id--hzgzrrvu7inn","Thing","absence","absent militaire | absent civil","Etat d'une personne dont on ignore si elle est encore en vie.",,"thing/FRAN_RI_004-d3ndf1hi16-ml15bt04g5px","droit des personnes",,,,,,,,
"thing/FRAN_RI_004-d3ndep8uks-1avty1y5jn2ev","d3ndep8uks-1avty1y5jn2ev","Thing","abstention",,,,"thing/FRAN_RI_004-d3ndep7zyu-2xmxxewhm5is","élection",,,,,,,,
"thing/FRAN_RI_004-d3ndeu0jbc-qnhezbmq3dtv","d3ndeu0jbc-qnhezbmq3dtv","Thing","académie",,,,"thing/FRAN_RI_004-d3ndetzmzb--fyti9r4c94ba","service déconcentré",,,,,,,,
"thing/FRAN_RI_004-d3ndfcnbl1-pria3kfh3dw9","d3ndfcnbl1-pria3kfh3dw9","Thing","accès à l'eau",,,,"thing/FRAN_RI_004-d3ndfcmuzh--10yu60b8ah0o8","politique de l'eau",,,,,,,,
"thing/FRAN_RI_004-d3ndfdku2j-1u390ttab7ku2","d3ndfdku2j-1u390ttab7ku2","Thing","accession à la propriété",,,,"thing/FRAN_RI_004-d3ndfdkejt--grcq3c4jh0h2","aide au logement",,,,,,,,
"thing/FRAN_RI_004-d3ndfewjnc-ze4gktofzux6","d3ndfewjnc-ze4gktofzux6","Thing","accident d'avion",,,,"thing/FRAN_RI_004-d3ndfew57f--1lh5k5x8fbg1j","sécurité aérienne",,,,,,,,
