"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"occupationType/FRAN_RI_010-d699msitg1r--hdkjr3pb151x","d699msitg1r--hdkjr3pb151x","OccupationType","abbé","prieur",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-1e30fi1nk--1gmw0mtayc5he","d-1e30fi1nk--1gmw0mtayc5he","OccupationType","académicien","membre de l'Institut","Membre d'une classe de l'Institut et en particulier de l'Académie française. L'académicien peut être membre de l'Académie française, de l'Académie des inscriptions et belles-lettres, de l'Académie des sciences, de l'Académie des beaux-arts ou de l'Académie des sciences morales et politiques (source : Larousse)",,,,,,,,,,,"23/11/2021 : Ajouté le [23/11/2021]"
"occupationType/FRAN_RI_010-d699msk23o5-354xqzr8gl19","d699msk23o5-354xqzr8gl19","OccupationType","accordeur de piano",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjp2m6--1qo7edsfvkfpy","d699msjp2m6--1qo7edsfvkfpy","OccupationType","acteur","artiste dramatique | comédien",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl759we-1qfz4kgpyc2dp","d3m0bl759we-1qfz4kgpyc2dp","OccupationType","administrateur","fermier général",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl6unm4-q8u149bnzf5w","d3m0bl6unm4-q8u149bnzf5w","OccupationType","administrateur auxiliaire (Ancien Régime)","subdélégué","lieutenant de province, de la Bastille...",,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjnphp--ogopux4anfqf","d699msjnphp--ogopux4anfqf","OccupationType","administrateur de société","gérant | cadre dirigeant d'entreprise",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjwqce-yhark80jormz","d699msjwqce-yhark80jormz","OccupationType","administrateur judiciaire",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msiv7fn--1a3blwn1bekb8","d699msiv7fn--1a3blwn1bekb8","OccupationType","aéronaute",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-73dphpekg-6ivzauvvefkz","d-73dphpekg-6ivzauvvefkz","OccupationType","agent d'affaires",,"Commerçant intermédiaire chargé de gérer les affaires et intérêts d’autrui, d’administrer ses biens. (d’après le TLFI notice « agent »  et le Larousse en ligne (2023))",,,,,,"http://www.wikidata.org/entity/Q63755028",,,,,"04/08/2023 : Ajouté le [04/08/2023]"
"occupationType/FRAN_RI_010-d699msjsdgp-qr18efzkqegx","d699msjsdgp-qr18efzkqegx","OccupationType","agent de change","changeur",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msiptbd--1tevc99z2lyne","d699msiptbd--1tevc99z2lyne","OccupationType","agent de surveillance","veilleur de nuit | vigile | gardien",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msk5gi0--1s6iqt9d92qzm","d699msk5gi0--1s6iqt9d92qzm","OccupationType","agent immobilier",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msixvp9-178n3lc5ghzq6","d699msixvp9-178n3lc5ghzq6","OccupationType","agent secret","espion",,,,,,,,,,,,
