"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"activityType/acquisition%20de%20la%20nationalit%C3%A9",,"ActivityType","acquisition de la nationalité",,,,"activityType/contr%C3%B4le%20de%20la%20nationalit%C3%A9","contrôle de la nationalité",,,,,,,,
"activityType/FRAN_RI_011-d3nyug261d--1cyxwnocz7hzo","d3nyug261d--1cyxwnocz7hzo","ActivityType","action gouvernementale","politique ministérielle | coordination interministérielle","Concerne les services qui élaborent ou mènent une politique à l’échelon d’un ministère : le plus souvent cabinets ministériels ou directoriaux mais aussi grands services techniques charges d’élaborer la politique du ministère ou encore services de ministères dont l’action principale est de donner une orientation, une impulsion dans un domaine (exemple : jeunesse et sports, politique pénale).",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyug3e0g-1xzlvri8dg416","d3nyug3e0g-1xzlvri8dg416","ActivityType","action sociale",,"S’applique aux missions spécifiques d’un producteur mais également à l’action de celui-ci en faveur de son personnel.","Terme employé également dans le référentiel Matières.",,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvil20q--uuew3ia85vzc","d5bhvil20q--uuew3ia85vzc","ActivityType","activité associative",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyug4qq8-7t9trcdja6ml","d3nyug4qq8-7t9trcdja6ml","ActivityType","activité politique",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyug5r5p-1q3xg1iu7rso6","d3nyug5r5p-1q3xg1iu7rso6","ActivityType","activité syndicale",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvih1do--ryj2votztf8z","d5bhvih1do--ryj2votztf8z","ActivityType","affaires sociales","solidarité | famille | cohésion sociale | population | intégration | personnes handicapées | enfance | sécurité sociale | personnes âgées",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyug6yhi-tabtgvzythez","d3nyug6yhi-tabtgvzythez","ActivityType","agrément","homologation | approbation | habilitation | labellisation",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvikz03--iqa08pprge9n","d5bhvikz03--iqa08pprge9n","ActivityType","agriculture","forêt",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyug92d2--81fv3kv7ow8s","d3nyug92d2--81fv3kv7ow8s","ActivityType","aide de l’Etat",,"Acception plus large que le financement (avantages juridiques, fiscaux...).",,,,,,,,,,,
"activityType/alignement%20de%20voie%20urbaine",,"ActivityType","alignement de voie urbaine",,"Fixation de la limite entre le domaine public routier et les propriétés riveraines. Cette limite est fixée par un plan d'alignement, qui est un document d'urbanisme établi par l'autorité compétente (État, département, commune).",,"activityType/FRAN_RI_011-d3nyuimm9z--1tz0n2jqoofo0","urbanisme",,,,,,,"http://data.culture.fr/thesaurus/resource/ark:/67717/T3-13 | documentaryFormType/FRAN_RI_001-d3nd8eb08g--1106d226t24ck","23/02/2025 : concept ajouté dans le cadre des travaux sur le référentiel des voies de Paris"
"activityType/alimentation",,"ActivityType","alimentation",,"Promotion et contrôle de la qualité des produits agricoles et des aliments, développement des industries agricoles et alimentaires, protection des animaux et des végétaux (définition à partir de 1987) pour garantir une alimentation saine, sûre, accessible, équilibrée et de qualité (expression ajoutée en 2008).",,"activityType/FRAN_RI_011-d5bhvikz03--iqa08pprge9n","agriculture",,,,,,,,
"activityType/am%C3%A9nagement%20de%20peine",,"ActivityType","aménagement de peine",,,,"activityType/FRAN_RI_011-d3nyuggi35--1d1y6hs08moef","application des peines",,,,,,,,
"activityType/FRAN_RI_011-d3nyugaefk--zg9gvxs7butk","d3nyugaefk--zg9gvxs7butk","ActivityType","aménagement du territoire",,"Ensemble des actions publiques tendant à un développement équilibré des régions et à une organisation de l’espace selon une conception directrice (vie-publique.fr).",,,,,"activityType/FRAN_RI_011-d3nyuimm9z--1tz0n2jqoofo0",,,,,,"23/02/2025 : ajouté une relation d'association avec le concept ""urbanisme"""
"activityType/FRAN_RI_011-d-9mj3jm8ph-kc1jkjrnt3uj","d-9mj3jm8ph-kc1jkjrnt3uj","ActivityType","aménagement rural","ruralité | espace rural | développement rural",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyugdvgg-1aghys19wrrx4","d3nyugdvgg-1aghys19wrrx4","ActivityType","amnistie",,"Effacement d’une condamnation, par loi.",,"activityType/pardon","pardon",,,,,,,,
"activityType/FRAN_RI_011-d5bhvik770--15ma0n1oncnzo","d5bhvik770--15ma0n1oncnzo","ActivityType","anciens combattants","victimes de guerre",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuggi35--1d1y6hs08moef","d3nyuggi35--1d1y6hs08moef","ActivityType","application des peines",,"Mise en œuvre des décisions prononcées avec la collaboration du juge de l’application des peines, des services pénitentiaires, de la police ou du Trésor Public.",,"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","justice",,,,,,,,
"activityType/FRAN_RI_011-d-5y3g3ef6o-1651r6rgctc85","d-5y3g3ef6o-1651r6rgctc85","ActivityType","arts",,,,,,,,,,,,,
"activityType/assainissement%20de%20voie%20urbaine",,"ActivityType","assainissement de voie urbaine",,"Ensemble des travaux visant à collecter et à traiter les eaux usées et pluviales.",,"activityType/FRAN_RI_011-d3nyuimm9z--1tz0n2jqoofo0","urbanisme",,,,,,,"http://data.culture.fr/thesaurus/resource/ark:/67717/T1-589","23/02/2025 : concept ajouté dans le cadre des travaux sur le référentiel des voies de Paris"
"activityType/authentification%20des%20actes",,"ActivityType","authentification des actes",,,,"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","justice",,,,,,,,
"activityType/FRAN_RI_011-d3nyughpey-1uwsojrantt3u","d3nyughpey-1uwsojrantt3u","ActivityType","autorisation commerciale",,,,,,,,,,,,,
"activityType/autorisation%20de%20servir%20%C3%A0%20l%27%C3%A9tranger",,"ActivityType","autorisation de servir à l'étranger",,,,"activityType/contr%C3%B4le%20du%20statut%20des%20personnes","contrôle du statut des personnes",,,,,,,,
"activityType/FRAN_RI_011-d3nyugiq9x-an4kh59v4psc","d3nyugiq9x-an4kh59v4psc","ActivityType","autorisation d’exploitation",,"Autorisation d’exploiter une entreprise, un établissement, par exemple une exploitation agricole, une ligne de transport, une source thermale.",,,,,,,,,,,
"activityType/FRAN_RI_011-d-9mip0e1i7--19gt7xjw1douf","d-9mip0e1i7--19gt7xjw1douf","ActivityType","cartographie",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d-awald6xki--1xbp9b7wb59wd","d-awald6xki--1xbp9b7wb59wd","ActivityType","célébration du culte",,,,,,,,,,,,,
