"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"language/FRAN_RI_100-name5","name5","Language","allemand | German [en]","Allemand/ger",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/ger",,,,,
"language/FRAN_RI_100-name6","name6","Language","anglais | English [en]","Anglais/eng",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/eng",,,,,
"language/FRAN_RI_100-d-6qh7b8yep--z64lmk0i2mn7","d-6qh7b8yep--z64lmk0i2mn7","Language","arabe | Arabic [en]","Arabe/ara",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/ara",,,,,
"language/FRAN_RI_100-d-4z3d22v2n--9g3z9ixlsrfs","d-4z3d22v2n--9g3z9ixlsrfs","Language","azéri | Azerbaijani [en]","Azeri/aze",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/aze",,,,,
"language/FRAN_RI_100-d-4z8bswcw5--bop1vrrfo305","d-4z8bswcw5--bop1vrrfo305","Language","bulgare | Bulgarian [en]","Bulgare/bul",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/bul",,,,,
"language/FRAN_RI_100-d-6g899b3ht-jm6991yabdi","d-6g899b3ht-jm6991yabdi","Language","catalan | Catalan [en]","valencien | Valencian [en] | Catalan/cat",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/cat",,,,,
"language/FRAN_RI_100-d-27t3kwreg-1uog59frz3duy","d-27t3kwreg-1uog59frz3duy","Language","chinois | Chinese [en]","Chinois/chi",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/chi",,,,,
"language/FRAN_RI_100-d-9wmjrgwzs-7qd7q10efdgg","d-9wmjrgwzs-7qd7q10efdgg","Language","coréen | Korean [en]","Coréen/kor",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/kor",,,,,
"language/FRAN_RI_100-d-4z0mrdqvo--1r4hvkea941qa","d-4z0mrdqvo--1r4hvkea941qa","Language","croate | Croatian [en]","Croate/hrv",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/hrv",,,,,
"language/FRAN_RI_100-d-6vjqcpn3q-legpg1oy9jog","d-6vjqcpn3q-legpg1oy9jog","Language","danois | Danish [en]","Danois/dan",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/dan",,,,,
"language/FRAN_RI_100-name7","name7","Language","espagnol | Spanish [en]","castillan | Castilian [en] | Espagnol/spa",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/spa",,,,,
"language/FRAN_RI_100-name4","name4","Language","français | French [en]","Français/fre",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/fre",,,,,
"language/FRAN_RI_100-d-6eqlgu6jp--12ojio4wuez4","d-6eqlgu6jp--12ojio4wuez4","Language","hébreu | Hebrew [en]","Hébreu/heb",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/heb",,,,,
"language/FRAN_RI_100-d-bs1vo2qq7--3z3urgeudicx","d-bs1vo2qq7--3z3urgeudicx","Language","hongrois | Hungarian [en]","Hongrois/hun",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/hun",,,,,
"language/FRAN_RI_100-d-oss057ra-ggj18pxos22n","d-oss057ra-ggj18pxos22n","Language","indéterminée | Undetermined [en]","Indéterminé/und",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/und",,,,,
"language/FRAN_RI_100-d-1r5pt0vk2-1nbochkgb87dc","d-1r5pt0vk2-1nbochkgb87dc","Language","italien | Italian [en]","Italien/ita",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/ita",,,,,
"language/FRAN_RI_100-d-1r86elmsk--4sn2z2z095po","d-1r86elmsk--4sn2z2z095po","Language","japonais | Japanese [en]","Japonais/jpn",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/jpn",,,,,
"language/FRAN_RI_100-d-5mat7mwfw--1qvprgefpak31","d-5mat7mwfw--1qvprgefpak31","Language","khmer central | Central Khmer [en]","Khmer/khm",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/khm",,,,,
"language/FRAN_RI_100-d-24jvl4ifg-qm3enyls0r1n","d-24jvl4ifg-qm3enyls0r1n","Language","langues berbères | Berber languages [en]","langues berbères/ber",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/ber",,,,,
"language/FRAN_RI_100-d-4twkixgif--23mscu52ldz1","d-4twkixgif--23mscu52ldz1","Language","langues indo-aryennes | Indic languages [en]","langues indo-aryennes/inc",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/inc",,,,,
"language/FRAN_RI_100-name9","name9","Language","latin | Latin [en]","Latin/lat",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/lat",,,,,
"language/FRAN_RI_100-d-4tzanfz87-1k0iqbn7n8x8o","d-4tzanfz87-1k0iqbn7n8x8o","Language","néerlandais | Dutch [en]","flamand | Flemish [en] | Néerlandais, flamand/dut/nld",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/dut",,,,,
"language/FRAN_RI_100-d-15g3k8cw6a-5hplkafjklx2","d-15g3k8cw6a-5hplkafjklx2","Language","persan | Persian [en]","Persan/fas",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/fas",,,,,
"language/FRAN_RI_100-d-3tvxs9qn3qg-n9p1uew8e4c","d-3tvxs9qn3qg-n9p1uew8e4c","Language","polonais | Polish [en]","Polonais/pol",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/pol",,,,,
"language/FRAN_RI_100-d-27r4eyoru--nr0heo55wfg1","d-27r4eyoru--nr0heo55wfg1","Language","portugais | Portuguese [en]","Portugais/por",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/por",,,,,
"language/FRAN_RI_100-d-6gxlaatn3--1u5awn9rlvci0","d-6gxlaatn3--1u5awn9rlvci0","Language","roumain | Romanian [en]","Roumain/rum",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/rum",,,,,
"language/FRAN_RI_100-d-1sjflaasd--2gtom2adgool","d-1sjflaasd--2gtom2adgool","Language","russe | Russian [en]","Russe/rus",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/rus",,,,,
"language/FRAN_RI_100-d-4z4ym2kus--yx1gl0wxj41a","d-4z4ym2kus--yx1gl0wxj41a","Language","serbe | Serbian [en]","Serbe/srp",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/srp",,,,,
"language/FRAN_RI_100-d-3tvuh76enzs--1jtgafq8a1fvw","d-3tvuh76enzs--1jtgafq8a1fvw","Language","suédois | Swedish [en]","Suédois/swe",,,,,,,"http://id.loc.gov/vocabulary/iso639-2/swe",,,,,
