"URI (segment de base : http://data.archives-nationales.culture.gouv.fr/","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"corporateBodyType/FRAN_RI_104-d-acqahmcoo--zyzdyoegxv67","CorporateBodyType","administration ou juridiction religieuse séculière","","Toute personne ou groupe ayant en charge l’administration d’une portion territoriale de l’Eglise universelle (religion catholique) ou de l’Eglise réformée.","","","","Paroisse Sainte-Catherine-du-Val-des-Ecoliers | Évêché de Paris","","","","","","",""
"corporateBodyType/FRAN_RI_104-d-accmz51qn--m68dghr4db08","CorporateBodyType","administration ou juridiction royale locale (Ancien Régime)","","","","","","Prévôté d'Ile-de-France | Prévôté de Paris | Élection de Paris | Bureau des finances de la généralité de Paris","","","","","","",""
"corporateBodyType/FRAN_RI_104-d5blomqzim--1mkd2xzkct0kh","CorporateBodyType","assemblée parlementaire","","","","","","Sénat | Assemblée nationale","","","","","","",""
"corporateBodyType/FRAN_RI_104-d-aec4bbo0n--pbh0kun35aq6","CorporateBodyType","assemblée représentative (Ancien Régime)","","Instance composée de membres délégués ou désignés pour représenter un groupe social, un ordre, une province ou un pays, et administration rattachée.","","","","États provinciaux | Agence du clergé | Assemblée de notables","","","","","","",""
"corporateBodyType/FRAN_RI_104-d5blom9zjl-l45jh5o3uznu","CorporateBodyType","association","fédération sportive","Groupement de personnes régi par la loi du 1er juillet 1901.","","","","","","","","","","",""
"corporateBodyType/FRAN_RI_104-d5bloo28po-1bei6cefdzkj","CorporateBodyType","autorité indépendante","autorité publique indépendante | autorité administrative indépendante | autorité constitutionnelle indépendante","Il n'existe pas de définition officielle des autorités administratives indépendantes. En 2006, le rapport parlementaire ""Les autorités administratives indépendantes : un objet juridique non identifié"", rédigé par M. Patrice Gélard, sénateur, au nom de l'Office parlementaire d'évaluation de la législation, après avoir rappelé que la dénomination d'autorité administrative indépendante, appliquée par le législateur à différents organismes à partir de 1978 (historiquement, l'expression ""Autorité administrative indépendante"" est appliquée pour la première fois à la Commission nationale de l'informatique et des libertés (loi n°78-17 du 6 janvier 1978, article8.)), a été étendue à d'autres entités par la jurisprudence ou la doctrine, propose, en s'appuyant sur un précédent rapport rendu par le Conseil d'État en 2001, une liste de 39 instances qualifiées d'autorités administratives indépendantes, ou, pour quatre d'entre elles, d'autorités publiques indépendantes (ce rapport peut être consulté sur le site internet du Sénat à l'adresse : http://www.senat.fr/rap/r05-404-1/r05-404-1.html). Une version mise à jour, comprenant actuellement 38 entités, est disponible sur le site Legifrance (https://www.legifrance.gouv.fr/Sites/Autorites-independantes2). Une autorité publique indépendante est une autorité indépendante dotée de la personnalité morale, qualifiée ainsi par la loi (l'expression ""Autorité publique indépendante""est appliquée pour la première fois, en 2003, à l'Autorité des marchés financiers (loi n°2003-706 du 1er août 2003, article 2). Le Défenseur des droits est qualifié d'autorité constitutionnelle indépendante par la loi organique du 29 mars 2011 (article 2).","Dans le cadre du référentiel des producteurs des Archives nationales, le terme générique ""Autorité indépendante"" est utilisé pour : - les autorités administratives indépendantes, - les autorités publiques indépendantes, - les entités dont l'existence est prévue par la Constitution autres que le Président de la République, le Gouvernement, le Parlement et les cours de justice, à savoir le Conseil constitutionnel, le Conseil supérieur de la magistrature, le Conseil économique, social et environnemental et le Défenseur des droits, - le Conseil d'État.","","","","","","","","","",""
"corporateBodyType/FRAN_RI_104-d-ae4onrcse--1ecw731ui6kom","CorporateBodyType","autorité seigneuriale laïque","","Toute personne physique ou morale exerçant une autorité de nature politique, administrative ou judiciaire sur un ensemble de terres ou d'hommes, souveraine ou non. Regroupe les juridictions seigneuriales et l'administration territoriale, qui peut être le fait d'une personne, d'un groupe de personnes ou d'agents délégués.","","","","Seigneurie de Puy-Paulin | Comté de Montbéliard","","","","","","",""
"corporateBodyType/FRAN_RI_104-d5blonb04s-1nqrprwwl75h0","CorporateBodyType","cabinet ministériel","","Le terme Cabinet ministériel est utilisé pour les cabinets du Premier ministre, des ministres et des secrétaires d'État, ainsi que pour les membres de ces cabinets, désignés par leur fonction.","","","","","","","","","","",""
"corporateBodyType/FRAN_RI_104-d-1ji7jau5s--1mgqggbdk7gh9","CorporateBodyType","collectivité territoriale","collectivité locale","Les collectivités territoriales sont des structures administratives françaises, distinctes de l'administration de l'État, qui doivent prendre en charge les intérêts de la population d'un territoire précis. Sont définies comme collectivités territoriales : les communes ; les départements auxquels s'ajoutent les cinq départements d'outre-mer (Dom) ; les régions auxquelles s'ajoutent également cinq régions d'outre-mer ; les collectivités à statut particulier ; les collectivités d'outre-mer (Com).","","","","","","http://www.wikidata.org/entity/Q58386","","","","",""
"corporateBodyType/FRAN_RI_104-d-aewoka0ac--z6lg7921a3eb","CorporateBodyType","comité d'assemblée parlementaire","","","","corporateBodyType/FRAN_RI_104-d5blomqzim--1mkd2xzkct0kh","assemblée parlementaire","","","","","","","",""
