"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/abbaye",,"PlaceType","abbaye",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/a%C3%A9rodrome",,"PlaceType","aérodrome",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/aire%20g%C3%A9ographique%20naturelle",,"PlaceType","aire géographique naturelle",,,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,,,,,,,
"placeType/all%C3%A9e",,"PlaceType","allée",,"« Une allée est composée généralement d’un chemin ou d’une route (goudronnée à proprement parler), accompagnée d’arbres, et sert de lieu de promenade ». (source: Wikipédia)",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q207934",,,,,"2025-03-12 : Concept ajouté."
"placeType/am%C3%A9nagement%20ou%20construction",,"PlaceType","aménagement ou construction",,,,,,,,,,,,,"2025-03-12 : Ajouté de nombreuses relations skos:narrower."
"placeType/ancienne%20commune",,"PlaceType","ancienne commune française",,,,,,,,,,,,,
"placeType/arcades",,"PlaceType","arcades",,"« Une arcade est, dans le sens courant, une série ordonnée de baies cintrées. Le terme peut aussi désigner une ouverture dans un mur (une baie) qui est cintrée en suivant diverses formes d’arc particulièrement l’arcade praticable ou réelle : arcade donnant la possibilité de circuler en offrant un passage direct ». (source: Wikipédia)",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q186637",,,,,"2025-03-12 : Concept ajouté."
"placeType/arrondissement",,"PlaceType","arrondissement français",,,"Ne pas confondre avec les arrondissements municipaux",,,,,,,,,,
"placeType/arrondissement%20municipal",,"PlaceType","arrondissement municipal",,,"utilisé uniquement pour les villes de Paris, Lyon et Marseille",,,,,,,,,,
"placeType/autoroute",,"PlaceType","autoroute",,"« Une autoroute est une voie de communication routière à chaussées séparées, réservée à la circulation à vitesse élevée des véhicules motorisés (automobiles, motos, camions et autocars) ». (source: Wikipédia)",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q46622",,,,,"2025-03-12 : Concept ajouté."
"placeType/avenue",,"PlaceType","avenue",,"Une avenue est « une grande voie urbaine ou une plus petite plantée d’arbres, et à la campagne ou en forêt, une avenue est un chemin frayé dans la nature ». (source: Wikipédia)",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q7543083",,,,,"2025-03-12 : Concept ajouté."
"placeType/baie",,"PlaceType","baie",,"En géographie, une baie est une échancrure du littoral mais aussi de la berge d’un lac. Une baie est moins grande qu’un golfe et moins profonde qu’une rade. Une baie de petite dimension est plutôt appelée anse. Si l’échancrure est de très petite dimension, on parle d’une crique. En général, un ou plusieurs fleuves se jettent dans une baie (source : Wikipédia).",,"placeType/zone%20naturelle","zone naturelle",,,,"http://data.ign.fr/id/codes/topo/typedezai/Baie",,,,"2021-03-02 : Ajouté le 2 mars 2021."
"placeType/balcon",,"PlaceType","balcon",,"« Un balcon est un élément d’architecture consistant en une plate-forme se dégageant du mur d’un édifice. Il peut se situer dans une cour fermée et peut ne pas communiquer directement avec une pièce ». (source: Wikipédia).",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q170552",,,,,"2025-03-12 : Concept ajouté."
"placeType/barrage",,"PlaceType","barrage",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/base%20a%C3%A9rienne",,"PlaceType","base aérienne","base aérienne militaire","Aérodrome ou partie d’un aérodrome utilisée par les forces armées d’un pays pour mettre en œuvre la composante aérienne (source : Wikipédia).",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/boulevard",,"PlaceType","boulevard",,"« Un boulevard est une voie généralement large (quatre voies de circulation ou plus) avec souvent des allées piétonnières sur ses bords ». (source: Wikipédia).",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q54114",,,,,"2025-03-12 : Concept ajouté."
