"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Exemples (skos:example)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/abattoir",,"PlaceType","abattoir",,"Un abattoir est un lieu dans lequel les animaux d’élevage sont abattus par plusieurs personnes pour l’alimentation humaine dans le cadre de la consommation de produits d’origine animale. (Source : Wikipédia)",,"Villejuif, abattoirs de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugplig-vj59jsa36fa0]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://data.culture.fr/thesaurus/page/ark:/67717/T96-604 | https://fr.dbpedia.org/page/Abattoir | https://data.bnf.fr/ark:/12148/cb11936410b",,,,,"2026-02-23 : Concept ajouté."
"placeType/abbaye",,"PlaceType","abbaye",,"« Une abbaye est un monastère de moines ou de moniales souvent catholiques, mais pouvant aussi parfois appartenir à d’autres dénominations chrétiennes (dont le luthéranisme, par exemple). L’abbaye est placée sous la direction d’un abbé — « père » en araméen — ou d’une abbesse, l’abbé étant le supérieur tout en étant « père spirituel » de la communauté religieuse, suivant les indications données au chapitre 2 de la règle de saint Benoît (du moins dans le monachisme occidental). » (Source: Wikipédia)",,"Brou, abbaye de (Bourg-en-Bresse ; abbaye) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-8vilywod-glatntey8ifn]","placeType/%C3%A9tablissement%20conventuel","établissement conventuel",,"https://www.wikidata.org/wiki/Q160742 | http://fr.dbpedia.org/page/Abbaye | https://data.bnf.fr/ark:/12148/cb11934704r",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/a%C3%A9rodrome",,"PlaceType","aérodrome",,"« Un aérodrome est un site, civil ou militaire, aménagé pour permettre aux aéronefs de décoller et d’atterrir, et doté de l’infrastructure nécessaire pour les préparer à leurs missions. Il comprend une ou plusieurs pistes d’envol et d’atterrissage, des aires de stationnement, des ateliers de réparations et de vérifications. »(Source : Wikipédia)",,"Château-Arnoux-Saint-Auban, aérodrome de (Château-Arnoux-Saint-Auban) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-3mrijhaqu--1co5m1ogqvl6d]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://www.wikidata.org/wiki/Q62447 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-1004 | http://fr.dbpedia.org/resource/A%C3%A9rodrome",,,,,"2026-02-23 : Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/aire%20g%C3%A9ographique",,"PlaceType","aire géographique",,"Une aire géographique est une région terrestre de grande taille, comme un continent.",,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,,,,,,"2026-02-23 : Correction de la dénomination préférentielle (skos:prefLabel). Ajout des données suivantes : définition"
"placeType/all%C3%A9e",,"PlaceType","allée",,"« Une allée est composée généralement d’un chemin ou d’une route (goudronnée à proprement parler), accompagnée d’arbres, et sert de lieu de promenade ». (source: Wikipédia)",,"allée du Puits (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzcqk13n-y8vae3640yhh]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q207934 | https://data.bnf.fr/fr/ark:/12148/cb15538404r",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/am%C3%A9nagement%20ou%20b%C3%A2timent%20militaire",,"PlaceType","aménagement ou bâtiment militaire",,"Construction, partie de construction ou groupe de constructions liés aux activités militaires.",,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction","placeType/cimeti%C3%A8re%20militaire",,,,,,"2026-02-23 : Concept ajouté."
"placeType/am%C3%A9nagement%20ou%20construction",,"PlaceType","aménagement ou construction",,"Construction, partie de construction, ensemble de constructions ou infrastructure terrestre créés par l’homme pour lui permettre de s’abriter, de se protéger ou d’exercer ses activités.",,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine","élément de géographie humaine",,,,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition"
"placeType/ancien%20faubourg%20de%20Paris",,"PlaceType","ancien faubourg de Paris",,"Les anciens faubourgs de Paris sont les quartiers situés autrefois à l’extérieur des enceintes de la ville, développés autour des portes et annexés progressivement à Paris, mais qui ont disparu en tant qu’entités distinctes avec l’extension de la ville. (Source : Wikipédia)",,"Montmartre, faubourg (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_023-d3nyvgeifp-hljbb2s4l00l]","placeType/faubourg","faubourg",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/ancienne%20commune",,"PlaceType","ancienne commune française",,,,"Annapes (Villeneuve-d’Ascq ; ancienne commune) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-1g86bwwmw-1xu3dibfwfbej]","placeType/unit%C3%A9%20administrative%20fran%C3%A7aise","unité administrative française",,,,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : exemple(s)"
"placeType/arcades",,"PlaceType","arcades",,"« Une arcade est, dans le sens courant, une série ordonnée de baies cintrées. Le terme peut aussi désigner une ouverture dans un mur (une baie) qui est cintrée en suivant diverses formes d’arc particulièrement l’arcade praticable ou réelle : arcade donnant la possibilité de circuler en offrant un passage direct ». (source: Wikipédia)",,"arcades des Champs Élysées (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz96rr1o-1x4e5atup1zud]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://www.wikidata.org/entity/Q186637 | https://data.bnf.fr/fr/ark:/12148/cb11982699j",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
