"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_022)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Historique (rico:history)"
"place/FRAN_RI_022-d3nyv8f3d4-ok53bz6domv3","d3nyv8f3d4-ok53bz6domv3","01e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8ftnv--8nhl10zyl2m0","d3nyv8ftnv--8nhl10zyl2m0","02e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8gloo-1mqax06e8pe1d","d3nyv8gloo-1mqax06e8pe1d","03e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8gz1t--152mje02aeqk1","d3nyv8gz1t--152mje02aeqk1","04e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8haov--4rhgfxrxatvr","d3nyv8haov--4rhgfxrxatvr","05e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8hmbw--1i2tdb4h5dd1p","d3nyv8hmbw--1i2tdb4h5dd1p","06e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8hy6p--ovxye394s82i","d3nyv8hy6p--ovxye394s82i","07e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8i9m0-ys1mraoxv8ln","d3nyv8i9m0-ys1mraoxv8ln","08e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8il1a-d31b8dfjb0g5","d3nyv8il1a-d31b8dfjb0g5","09e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8j47y--q19vvxm7arwm","d3nyv8j47y--q19vvxm7arwm","10e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8jhsu--jc2zspqi2y57","d3nyv8jhsu--jc2zspqi2y57","11e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8jt84--188sp134d0ip7","d3nyv8jt84--188sp134d0ip7","12e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8k5ao--5b6yxr3q757d","d3nyv8k5ao--5b6yxr3q757d","13e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8kgpz-117o9k86ze75x","d3nyv8kgpz-117o9k86ze75x","14e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8kvt6-lcecgmeevf70","d3nyv8kvt6-lcecgmeevf70","15e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8l7vr--1oyxkw6yfemf2","d3nyv8l7vr--1oyxkw6yfemf2","16e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8ljb1--rjak82kccgxp","d3nyv8ljb1--rjak82kccgxp","17e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8luy3-fe1chmhbhkpu","d3nyv8luy3-fe1chmhbhkpu","18e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8m969-mfm1b5l29z8z","d3nyv8m969-mfm1b5l29z8z","19e arrondissement (Paris ; 1860-....)",,"1860",
"place/FRAN_RI_022-d3nyv8mloc-m4l1ul9hwhpp","d3nyv8mloc-m4l1ul9hwhpp","20e arrondissement (Paris ; 1860-....)",,"1860",
