"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_021)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)"
"place/FRAN_RI_021-d3nyv5jo07--11vv6ggdeixfq","d3nyv5jo07--11vv6ggdeixfq","01e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5k4th--1kog8v18wrm89","d3nyv5k4th--1kog8v18wrm89","02e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5kgoa--eky836cf0y0d","d3nyv5kgoa--eky836cf0y0d","03e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5ksym-t7svmlci00jh","d3nyv5ksym-t7svmlci00jh","04e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5ljov-1jxnjt6dezp0h","d3nyv5ljov-1jxnjt6dezp0h","05e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5lwmh--3hysxk92tr45","d3nyv5lwmh--3hysxk92tr45","06e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5m81r-3b9vn0frjmzw","d3nyv5m81r-3b9vn0frjmzw","07e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5mj9a-19vhxeonx80mi","d3nyv5mj9a-19vhxeonx80mi","08e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5mvjm--gvfz3ej8yx8n","d3nyv5mvjm--gvfz3ej8yx8n","09e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5n6yx--1c1owwk70px70","d3nyv5n6yx--1c1owwk70px70","10e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5nily-1cv4dhiyi65ky","d3nyv5nily-1cv4dhiyi65ky","11e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
"place/FRAN_RI_021-d3nyv5nuoj-12oe3iyil94zh","d3nyv5nuoj-12oe3iyil94zh","12e arrondissement (Paris ; 1795-1860)",,"1795","1860","Disparu."
