"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_020)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)"
"place/FRAN_RI_020-d3nyv21ouk--1gswq35rae1ch","d3nyv21ouk--1gswq35rae1ch","Aubervilliers (Seine ; commune)","Aubervilliers (ancienne commune)","1860","Commune rattachée en totalité ou partiellement à Paris."
"place/FRAN_RI_020-d3nyv225nu--18lpggubhyd8","d3nyv225nu--18lpggubhyd8","Auteuil (Seine ; commune)","Auteuil (ancienne commune)","1860","Commune rattachée en totalité ou partiellement à Paris."
"place/FRAN_RI_020-d3nyv22i5y-16k5e9esnr44u","d3nyv22i5y-16k5e9esnr44u","Bagnolet (Seine ; commune)","Bagnolet (ancienne commune)","1860","Commune rattachée en totalité ou partiellement à Paris."
"place/FRAN_RI_020-d3nyv22tl8-ax6fgbv5uatj","d3nyv22tl8-ax6fgbv5uatj","Batignolles-Monceaux (Seine ; commune)","Batignolles-Monceaux (ancienne commune)","1860","Commune rattachée en totalité ou partiellement à Paris."
"place/FRAN_RI_020-d3nyv235g1-1dsz2ioo63knt","d3nyv235g1-1dsz2ioo63knt","Belleville (Seine ; commune)","Belleville (ancienne commune)","1860","Commune rattachée en totalité ou partiellement à Paris."
"place/FRAN_RI_020-d3nyv23hy4--6exwijuu8h37","d3nyv23hy4--6exwijuu8h37","Bercy (Seine ; commune)","Bercy (ancienne commune)","1860","Commune rattachée en totalité ou partiellement à Paris."
"place/FRAN_RI_020-d3nyv23tsx-13j1glekqj3bq","d3nyv23tsx-13j1glekqj3bq","Charonne (Seine ; commune)","Charonne (ancienne commune)","1860","Commune rattachée en totalité ou partiellement à Paris."
"place/FRAN_RI_020-d3nyv24588--1exekvm1oh3rp","d3nyv24588--1exekvm1oh3rp","Clichy (Seine ; commune)","Clichy (ancienne commune)","1860","Commune rattachée en totalité ou partiellement à Paris."
"place/FRAN_RI_020-d3nyv24mwk-1sycv6431pacx","d3nyv24mwk-1sycv6431pacx","Gentilly (Seine ; commune)","Gentilly (ancienne commune)","1860","Commune rattachée en totalité ou partiellement à Paris."
"place/FRAN_RI_020-d3m0bp3plo8-lggc65i6zxfm","d3m0bp3plo8-lggc65i6zxfm","Issy-les-Moulineaux (Seine ; commune)","Issy-les-Moulineaux (ancienne commune)","1860","Commune rattachée en totalité ou partiellement à Paris."
