"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_026)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_026-d3nzuenl4x--h6vxqs3tklx3","d3nzuenl4x--h6vxqs3tklx3","Abbaye (prison de l')",,
"place/FRAN_RI_026-d3nzueo3w2-1t5nm8l146s5d","d3nzueo3w2-1t5nm8l146s5d","Abbaye-aux-Bois",,
"place/FRAN_RI_026-d3nzueofj3-jghrak7aqao7","d3nzueofj3-jghrak7aqao7","Achy (hôtel d')",,
"place/FRAN_RI_026-d3nzueor65-sqbk64qbjq9t","d3nzueor65-sqbk64qbjq9t","Affaires étrangères (hôtel du ministre des)",,
"place/FRAN_RI_026-d3nzuep2t7--cscp4udgoi5i","d3nzuep2t7--cscp4udgoi5i","Agen (collège d')",,
"place/FRAN_RI_026-d3nzuepeg9--1j9cwm6roemt1","d3nzuepeg9--1j9cwm6roemt1","Agenois (hôtel d')",,
"place/FRAN_RI_026-d3m0cuh2ile-rj8vn3pw2jtk","d3m0cuh2ile-rj8vn3pw2jtk","Aguesseau (marché d')",,
"place/FRAN_RI_026-d5bknwty11-ji0uqk56tqfz","d5bknwty11-ji0uqk56tqfz","Aigle d'Or (enseigne de l')",,
"place/FRAN_RI_026-d5bknwlkgl--1w7lizj16j8px","d5bknwlkgl--1w7lizj16j8px","Aigle d'Or (hôtel de l')",,"Rue Gît-le-Coeur."
"place/FRAN_RI_026-d5bknw9v99--9t8am5jtpbk1","d5bknw9v99--9t8am5jtpbk1","Aigle Royal (enseigne de l')",,
"place/FRAN_RI_026-d3nzueqf3h--iiul59y60fop","d3nzueqf3h--iiul59y60fop","Aiguillon (hôtel d')",,
"place/FRAN_RI_026-d5bknxrpkh--syalwtqlafl6","d5bknxrpkh--syalwtqlafl6","Akermann (hôtel)",,"Rue du Faubourg-Poissonnière. Voir aussi Chéret (hôtel)."
"place/FRAN_RI_026-d3nzuerfqp-owebv47396dq","d3nzuerfqp-owebv47396dq","Albe (hôtel garni d')",,
"place/FRAN_RI_026-d3nzuerypl--1121un1u4ptwn","d3nzuerypl--1121un1u4ptwn","Alençon (hôtel d')",,
"place/FRAN_RI_026-d3nzuesuec--s9tbm1fisrtn","d3nzuesuec--s9tbm1fisrtn","Aligre (hôtel d')","Harlay (hôtel d') | Maupéou (hôtel de) | Beauharnais (hôtel de)","Rue de l'Université."
"place/FRAN_RI_026-d3nzuet7rg--1azorh4i2na5a","d3nzuet7rg--1azorh4i2na5a","Alma (hôtel de l')",,
"place/FRAN_RI_026-d3nzuetju1--ht9mbdk8j7kb","d3nzuetju1--ht9mbdk8j7kb","Ambassadeurs (hôtel des)",,
"place/FRAN_RI_026-d5bknwvemi--139r0vrovfts2","d5bknwvemi--139r0vrovfts2","Ambigu Comique (théâtre de l')",,
"place/FRAN_RI_026-d3nzueuulz--1h585kblrud7e","d3nzueuulz--1h585kblrud7e","Ancre (hôtel du maréchal d')",,
"place/FRAN_RI_026-d5bknxvtvg--1f4vmgk31vsgo","d5bknxvtvg--1f4vmgk31vsgo","Ane Rayé (enseigne de l')",,
"place/FRAN_RI_026-d5bknxv2hw-1qb4057cce28z","d5bknxv2hw-1qb4057cce28z","Ange (enseigne de l')",,
"place/FRAN_RI_026-d5bknw16p2--1xv9ndxl7occx","d5bknw16p2--1xv9ndxl7occx","Ange d'Or (enseigne de l')",,
"place/FRAN_RI_026-d5bknxf5r7-1om0h5k9pf3xr","d5bknxf5r7-1om0h5k9pf3xr","Angennes de Rambouillet (hôtel d')",,"Place des Vosges."
"place/FRAN_RI_026-d3nzuevm7a--14zhgbkeqifuc","d3nzuevm7a--14zhgbkeqifuc","Angivilliers (hôtel d')",,"Rue de l'Oratoire."
"place/FRAN_RI_026-d3nzuevzcn-zkoiic3wmp88","d3nzuevzcn-zkoiic3wmp88","Angleterre (hôtel d')",,
"place/FRAN_RI_026-d3nzuewb7g--1wkexqd4j2avz","d3nzuewb7g--1wkexqd4j2avz","Angoulême (hôtel d')",,"Rue Pavée. Voir aussi Lamoignon (hôtel de)."
"place/FRAN_RI_026-d3nzuewna0-8vu9tj30z9ps","d3nzuewna0-8vu9tj30z9ps","Anjou (hôtel d')",,
"place/FRAN_RI_026-d3nzuexhvy-dtrvb24gfwmn","d3nzuexhvy-dtrvb24gfwmn","Annonciades (couvent des)",,
"place/FRAN_RI_026-d5bknwd9ws--9a17dmsu6ie3","d5bknwd9ws--9a17dmsu6ie3","Annonciation (enseigne de l')",,
"place/FRAN_RI_026-d3nzuey7bn-11okqyvl7mscr","d3nzuey7bn-11okqyvl7mscr","Antin (hôtel d')",,
"place/FRAN_RI_026-d5bknwsv87-sq5gkgubpaic","d5bknwsv87-sq5gkgubpaic","Arbalète (enseigne de l')",,
"place/FRAN_RI_026-d5bknwxwy0-99qhva6rw0kx","d5bknwxwy0-99qhva6rw0kx","Arche de Noé (enseigne de l')",,
"place/FRAN_RI_026-d3nzueyjtq--1b62kkbb1x6kh","d3nzueyjtq--1b62kkbb1x6kh","Archevêché (palais de l')",,
