"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_024)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_024-d3nyvp4aef--lj9z4juc8apm","d3nyvp4aef--lj9z4juc8apm","La Madeleine (Paris ; paroisse)","La Madeleine (paroisse) | La Madeleine-de-la-Ville-l'Evêque","Faubourgs."
"place/FRAN_RI_024-d3m0bqhogxd--1utqa4ew20c5u","d3m0bqhogxd--1utqa4ew20c5u","Notre-Dame (Paris ; paroisse)","Notre-Dame (paroisse)",
"place/FRAN_RI_024-d3nyvp7xw4-1u0dpm6pjpet7","d3nyvp7xw4-1u0dpm6pjpet7","Notre-Dame-de-Bonne-Nouvelle (Paris ; paroisse)","Notre-Dame-de-Bonne-Nouvelle (paroisse)","Ville (rive droite)."
"place/FRAN_RI_024-d3nyvp89be-jt50ejok02pr","d3nyvp89be-jt50ejok02pr","Notre-Dame-de-Lorette (Paris ; paroisse)","Notre-Dame-de-Lorette (paroisse)","Faubourgs, succursale urbaine de Saint-Pierre-de-Montmartre."
"place/FRAN_RI_024-d3m0bqhq5xn-za8zxo3v9rb","d3m0bqhq5xn-za8zxo3v9rb","Notre-Dame-des-Champs (Paris ; paroisse)","Notre-Dame-des-Champs (paroisse)",
"place/FRAN_RI_024-d3nyvosba5--16qzzcu3058e5","d3nyvosba5--16qzzcu3058e5","Saint-André-des-Arts (Paris ; paroisse)","Saint-André-des-Arts (paroisse) | Saint-André-des-Arcs","Université (rive gauche)."
"place/FRAN_RI_024-d3m0bqho0on--1t43l8uaig7fm","d3m0bqho0on--1t43l8uaig7fm","Saint-Antoine-des-Quinze-Vingts (Paris ; paroisse)","Saint-Antoine-des-Quinze-Vingts (paroisse) | Quinze-Vingts","Ville (rive droite), cure d'enclos."
"place/FRAN_RI_024-d3nyvost68-1tq3k980risj5","d3nyvost68-1tq3k980risj5","Saint-Barthélemy (Paris ; paroisse)","Saint-Barthélemy (paroisse)","Cité."
"place/FRAN_RI_024-d3nyvot58t--198f1uuwdsl99","d3nyvot58t--198f1uuwdsl99","Saint-Benoît (Paris ; paroisse)","Saint-Benoît (paroisse)","Université (rive gauche)."
"place/FRAN_RI_024-d3nyvotxww--1db01nqxnl0qi","d3nyvotxww--1db01nqxnl0qi","Saint-Christophe (Paris ; paroisse)","Saint-Christophe (paroisse)","Cité, supprimée en 1747 et réunie à Sainte-Madeleine."
