"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_023)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)"
"place/FRAN_RI_023-d3nyvfl496--1axk8ljerxg4s","d3nyvfl496--1axk8ljerxg4s","Amérique (Paris ; quartier)","Amérique (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvflk7f-13ykryy8qbwzm","d3nyvflk7f-13ykryy8qbwzm","Archives (Paris ; quartier)","Archives (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvflwhr--1ke25ca9gbj9x","d3nyvflwhr--1ke25ca9gbj9x","Arcis (Paris ; quartier)","Arcis (quartier)","1811","1860","Quartier ayant existé de 1811 à 1860."
"place/FRAN_RI_023-d3nyvfm84s--a5eov8n43zvv","d3nyvfm84s--a5eov8n43zvv","Arsenal (Paris ; quartier)","Arsenal (quartier)","1811",,"Quartier créé en 1811."
"place/FRAN_RI_023-d3nyvfmjzl--1r9oq07s2jwyl","d3nyvfmjzl--1r9oq07s2jwyl","Arts-et-Métiers (Paris ; quartier)","Arts-et-Métiers (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfmvmn--tu1pc3dzhrh8","d3nyvfmvmn--tu1pc3dzhrh8","Auteuil (Paris ; quartier)","Auteuil (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfn71x-rwe8aay44kca","d3nyvfn71x-rwe8aay44kca","Banque (Paris ; quartier)","Banque (quartier) | Halle-aux-Blés (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire Halle-aux-Blés."
"place/FRAN_RI_023-d3nyvfnih8--1x9ut04xrdt47","d3nyvfnih8--1x9ut04xrdt47","Batignolles (Paris ; quartier)","Batignolles (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfnu4a-12zz3uahyaggi","d3nyvfnu4a-12zz3uahyaggi","Bel-Air (Paris ; quartier)","Bel-Air (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfo5z3--dezqx5lbo7dq","d3nyvfo5z3--dezqx5lbo7dq","Belleville (Paris ; quartier)","Belleville (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfohed-t58augnsw49s","d3nyvfohed-t58augnsw49s","Bercy (Paris ; quartier)","Bercy (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvfot96-v4utuwrppfm3","d3nyvfot96-v4utuwrppfm3","Bonne-Nouvelle (Paris ; quartier)","Bonne-Nouvelle (quartier)","1811",,"Quartier créé en 1811."
"place/FRAN_RI_023-d3nyvfp5z1--tj231brvc19c","d3nyvfp5z1--tj231brvc19c","Chaillot (Paris ; quartier)","Chaillot (quartier) | Bassins (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3m0bq3nic2--nkoowactm0aw","d3m0bq3nic2--nkoowactm0aw","Champ de Mars (Paris ; quartier)","Champ de Mars (quartier)",,,
"place/FRAN_RI_023-d3nyvfuj44--hj0ctopzzv7l","d3nyvfuj44--hj0ctopzzv7l","Champs-Elysées (Paris ; quartier)","Champs-Elysées (quartier)","1811",,"Quartier créé en 1811."
"place/FRAN_RI_023-d3nyvfuw9h-1n15m05tm17vv","d3nyvfuw9h-1n15m05tm17vv","Charonne (Paris ; quartier)","Charonne (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3m0bq3pp63--g927ya0vdd2m","d3m0bq3pp63--g927ya0vdd2m","Chartreuse-Beaujon (Paris ; quartier)","Chartreuse-Beaujon (faubourg)",,,
"place/FRAN_RI_023-d3nyvfv7h0-vllfoj3rmfsi","d3nyvfv7h0-vllfoj3rmfsi","Chaussée-d'Antin (Paris ; quartier)","Chaussée-d'Antin (quartier) | Mont-Blanc (section révolutionnaire) | Mirabeau (section révolutionnaire) | Grange-Batelière (section révolutionnaire)","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire dénommée successivement Grange-Batelière, Mirabeau, Mont-Blanc."
