"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_025)","Dénomination préférée (skos:prefLabel)","Historique (rico:history)"
"place/FRAN_RI_025-d3nz8c882k--zu8zz6clvwi6","d3nz8c882k--zu8zz6clvwi6","10-Décembre (rue du)","Actuellement rue du 4-Septembre."
"place/FRAN_RI_025-d3nz8c7oo5-6ldqwl7vbhjb","d3nz8c7oo5-6ldqwl7vbhjb","11-Novembre (allée du)","Voie supprimée."
"place/FRAN_RI_025-d3nz8c8kse--8cly672vx1ve","d3nz8c8kse--8cly672vx1ve","11-Novembre-1918 (place du)","Voie actuelle."
"place/FRAN_RI_025-d3nz8c8wuz-uj6ow5q4c7yw","d3nz8c8wuz-uj6ow5q4c7yw","18-Juin-1940 (place du)","Voie actuelle. Autre(s) nom(s) : place de Rennes."
"place/FRAN_RI_025-d3nz8c98ps--lvs5vcc6qhuf","d3nz8c98ps--lvs5vcc6qhuf","19-Mars-1962 (place du)","Voie actuelle."
"place/FRAN_RI_025-d3nz8c9ksc-1j7d6ql0w9gpi","d3nz8c9ksc-1j7d6ql0w9gpi","1er-mai (allée du)","Voie supprimée."
"place/FRAN_RI_025-d3nz8c9wn5-1t8rirs6b95o2","d3nz8c9wn5-1t8rirs6b95o2","22-Novembre-1943 (place du)","Voie actuelle."
"place/FRAN_RI_025-d3nz8ca8hy-q6odruvql0pg","d3nz8ca8hy-q6odruvql0pg","24-Février (rue du)","Actuellement rue de Valois."
"place/FRAN_RI_025-d3nz8cakcr--tyz8h64htwyw","d3nz8cakcr--tyz8h64htwyw","25-Août-1944 (place du)","Voie actuelle. Autre(s) nom(s) : place de la Porte-d'Orléans."
"place/FRAN_RI_025-d3nz8cawn3-1bimscgzjeqvb","d3nz8cawn3-1bimscgzjeqvb","29-Juillet (rue du)","Voie actuelle. Autre(s) nom(s) : rue du Duc-de-Bordeaux."
"place/FRAN_RI_025-d3nz8cb8hw--1kq2ty6o5egk1","d3nz8cb8hw--1kq2ty6o5egk1","31-Mai (rue du)","Actuellement partie de la rue Saint-Sulpice."
"place/FRAN_RI_025-d3nz8cbkcp--178ohzfx7v21","d3nz8cbkcp--178ohzfx7v21","4-Septembre (impasse du)","Voie supprimée."
"place/FRAN_RI_025-d3nz8cbwfa-1230ms150623f","d3nz8cbwfa-1230ms150623f","4-Septembre (rue du)","Cette dénomination correspond à 2 voies : voie actuelle également dénommée rue du 10-Décembre. Voie ancienne : voir avenue du Parc-des-Expositions."
"place/FRAN_RI_025-d3nz8cc82b--i0dmoscgbri9","d3nz8cc82b--i0dmoscgbri9","8-Février-1962 (place du)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cglmz--15s9ooc86zd9l","d3nz8cglmz--15s9ooc86zd9l","8-Mai-1945 (rue du)","Voie actuelle. Autre(s) nom(s) : rue Neuve-Chabrol, rue de Strasbourg."
"place/FRAN_RI_025-d3nz8cgy53--qy9wlbxm1oqd","d3nz8cgy53--qy9wlbxm1oqd","8-Novembre-1942 (place du)","Voie actuelle."
