"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntgu12a1-l1fwyub6xjet","d3ntgu12a1-l1fwyub6xjet","Afa (Corse-du-Sud)","Afa","arrondissement : 2A1 | canton : Ajaccio 7e Canton","1er janvier 1976 : Afa est rattaché au département (Anc. 20001).","Corse-du-Sud (Corse, département) [d3ntb7h3jn-16it3tcjqcvnn]","2A001","POINT(1180800 6115700)","http://id.insee.fr/geo/commune/2A001 | http://data.ign.fr/id/geofla/commune/2A001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2A001","Alata (Corse-du-Sud) [d3ntgu1pzn-1nqghomiwjj06] | Ajaccio (Corse-du-Sud) [d3ntgu1ecl--obj9vm5rr46m] | Sarrola-Carcopino (Corse-du-Sud) [d3ntguykc1-e7cxoq9kup1x] | Appietto (Corse-du-Sud) [d3ntgu30zd--18gkkw976ri8o]"
"place/FRAN_RI_005-d3ntgu1ecl--obj9vm5rr46m","d3ntgu1ecl--obj9vm5rr46m","Ajaccio (Corse-du-Sud)","Ajaccio","arrondissement : 2A1","1er janvier 1976 : Ajaccio est rattaché au département (Anc. 20004).","Corse-du-Sud (Corse, département) [d3ntb7h3jn-16it3tcjqcvnn]","2A004","POINT(1176400 6108900)","http://id.insee.fr/geo/commune/2A004 | http://data.ign.fr/id/geofla/commune/2A004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2A004","Alata (Corse-du-Sud) [d3ntgu1pzn-1nqghomiwjj06] | Afa (Corse-du-Sud) [d3ntgu12a1-l1fwyub6xjet] | Bastelicaccia (Corse-du-Sud) [d3ntgu6uak-7ek8289acys0] | Grosseto-Prugna (Corse-du-Sud) [d3ntgujgoy-u3s6wprt1kjt] | Villanova (Corse-du-Sud) [d3ntgv7hy5-154n2lv24nf2x] | Sarrola-Carcopino (Corse-du-Sud) [d3ntguykc1-e7cxoq9kup1x]"
"place/FRAN_RI_005-d3ntgu1pzn-1nqghomiwjj06","d3ntgu1pzn-1nqghomiwjj06","Alata (Corse-du-Sud)","Alata","arrondissement : 2A1 | canton : Ajaccio 7e Canton","1er janvier 1976 : Alata est rattaché au département (Anc. 20006).","Corse-du-Sud (Corse, département) [d3ntb7h3jn-16it3tcjqcvnn]","2A006","POINT(1176500 6114700)","http://id.insee.fr/geo/commune/2A006 | http://data.ign.fr/id/geofla/commune/2A006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2A006","Afa (Corse-du-Sud) [d3ntgu12a1-l1fwyub6xjet] | Villanova (Corse-du-Sud) [d3ntgv7hy5-154n2lv24nf2x] | Ajaccio (Corse-du-Sud) [d3ntgu1ecl--obj9vm5rr46m] | Appietto (Corse-du-Sud) [d3ntgu30zd--18gkkw976ri8o]"
"place/FRAN_RI_005-d3ntgu21ug-1nj1o9ynk66sx","d3ntgu21ug-1nj1o9ynk66sx","Albitreccia (Corse-du-Sud)","Albitreccia","arrondissement : 2A1 | canton : Santa-Maria-Siché","1er janvier 1976 : Albitreccia est rattaché au département (Anc. 20008).","Corse-du-Sud (Corse, département) [d3ntb7h3jn-16it3tcjqcvnn]","2A008","POINT(1194000 6103200)","http://id.insee.fr/geo/commune/2A008 | http://data.ign.fr/id/geofla/commune/2A008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2A008","Guargualé (Corse-du-Sud) [d3ntguk4ek-dp3wxio5y9fm] | Urbalacone (Corse-du-Sud) [d3ntgv5m9h-175hy2znf6cqq] | Cardo-Torgia (Corse-du-Sud) [d3ntguajic--1f0cv8hbbusd8] | Cognocoli-Monticchi (Corse-du-Sud) [d3ntgudebx--tm8z2cvminwk] | Pietrosella (Corse-du-Sud) [d3ntgute39-1j39yzqvur3x5] | Grosseto-Prugna (Corse-du-Sud) [d3ntgujgoy-u3s6wprt1kjt]"
"place/FRAN_RI_005-d3ntgu2dhi-dtvtbvuplncn","d3ntgu2dhi-dtvtbvuplncn","Altagène (Corse-du-Sud)","Altagène","arrondissement : 2A4 | canton : Tallano-Scopamène","1er janvier 1976 : Altagène est rattaché au département (Anc. 20011).","Corse-du-Sud (Corse, département) [d3ntb7h3jn-16it3tcjqcvnn]","2A011","POINT(1205900 6086700)","http://id.insee.fr/geo/commune/2A011 | http://data.ign.fr/id/geofla/commune/2A011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2A011","Serra-di-Scopamène (Corse-du-Sud) [d3ntguzlua--iwvf333x3pwu] | Mela (Corse-du-Sud) [d3ntgumxxl-5inpdn8d58lr] | Levie (Corse-du-Sud) [d3ntgulfea--1d47vnxcs3o06] | Zoza (Corse-du-Sud) [d3ntgva0p6-yahs0qv33ljn] | Sainte-Lucie-de-Tallano (Corse-du-Sud) [d3ntgv2dn8-1dfgvl974hjrk]"
"place/FRAN_RI_005-d3ntgu2p4k-1ndod6qokx1vj","d3ntgu2p4k-1ndod6qokx1vj","Ambiegna (Corse-du-Sud)","Ambiegna","arrondissement : 2A1 | canton : Cruzini-Cinarca","1er janvier 1976 : Ambiegna est rattaché au département (Anc. 20014).","Corse-du-Sud (Corse, département) [d3ntb7h3jn-16it3tcjqcvnn]","2A014","POINT(1179700 6126800)","http://id.insee.fr/geo/commune/2A014 | http://data.ign.fr/id/geofla/commune/2A014 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2A014","Coggia (Corse-du-Sud) [d3ntgud1eb--1xxcqffppvuw2] | Arbori (Corse-du-Sud) [d3ntgu3oh7--z7nbj3bfk1i6] | Arro (Corse-du-Sud) [d3ntgu4pzh-1ckgfdgdoj6mr] | Sari-d'Orcino (Corse-du-Sud) [d3ntguy512--1ne3jljrcd1a3] | Casaglione (Corse-du-Sud) [d3ntgubjia-17m8e3m4oiti6]"
"place/FRAN_RI_005-d3ntgu30zd--18gkkw976ri8o","d3ntgu30zd--18gkkw976ri8o","Appietto (Corse-du-Sud)","Appietto","arrondissement : 2A1 | canton : Ajaccio 7e Canton","1er janvier 1976 : Appietto est rattaché au département (Anc. 20017).","Corse-du-Sud (Corse, département) [d3ntb7h3jn-16it3tcjqcvnn]","2A017","POINT(1178300 6118900)","http://id.insee.fr/geo/commune/2A017 | http://data.ign.fr/id/geofla/commune/2A017 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2A017","Alata (Corse-du-Sud) [d3ntgu1pzn-1nqghomiwjj06] | Afa (Corse-du-Sud) [d3ntgu12a1-l1fwyub6xjet] | Valle-di-Mezzana (Corse-du-Sud) [d3ntgv5yrk--gol2vgq0vso6] | Calcatoggio (Corse-du-Sud) [d3ntgu8l8j--1tsj1yy6w1mzk] | Sarrola-Carcopino (Corse-du-Sud) [d3ntguykc1-e7cxoq9kup1x]"
"place/FRAN_RI_005-d3ntgu3d9o--df8rwiov05q","d3ntgu3d9o--df8rwiov05q","Arbellara (Corse-du-Sud)","Arbellara","arrondissement : 2A4 | canton : Olmeto","1er janvier 1976 : Arbellara est rattaché au département (Anc. 20018).","Corse-du-Sud (Corse, département) [d3ntb7h3jn-16it3tcjqcvnn]","2A018","POINT(1199500 6083400)","http://id.insee.fr/geo/commune/2A018 | http://data.ign.fr/id/geofla/commune/2A018 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2A018","Olmiccia (Corse-du-Sud) [d3ntgupkcj-1cssbez5ph06j] | Viggianello (Corse-du-Sud) [d3ntgv74l1-1r9wi1jesgoue] | Sartène (Corse-du-Sud) [d3ntguyx9n--16956q41dssko] | Loreto-di-Tallano (Corse-du-Sud) [d3ntgum3jf--17lzdsed0gj2x] | Fozzano (Corse-du-Sud) [d3ntguhpj8--10on193y6j31j]"
"place/FRAN_RI_005-d3ntgu3oh7--z7nbj3bfk1i6","d3ntgu3oh7--z7nbj3bfk1i6","Arbori (Corse-du-Sud)","Arbori","arrondissement : 2A1 | canton : Les Deux-Sorru","1er janvier 1976 : Arbori est rattaché au département (Anc. 20019).","Corse-du-Sud (Corse, département) [d3ntb7h3jn-16it3tcjqcvnn]","2A019","POINT(1179600 6133300)","http://id.insee.fr/geo/commune/2A019 | http://data.ign.fr/id/geofla/commune/2A019 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2A019","Coggia (Corse-du-Sud) [d3ntgud1eb--1xxcqffppvuw2] | Ambiegna (Corse-du-Sud) [d3ntgu2p4k-1ndod6qokx1vj] | Rosazia (Corse-du-Sud) [d3ntguwtlt-786d9opc2a2h] | Murzo (Corse-du-Sud) [d3ntguo8pj-1drppzlykphok] | Arro (Corse-du-Sud) [d3ntgu4pzh-1ckgfdgdoj6mr] | Lopigna (Corse-du-Sud) [d3ntgulrwd--fas8i09eibvh] | Vico (Corse-du-Sud) [d3ntgv6o79--13v37nn375s2k]"
"place/FRAN_RI_005-d3ntgu49th--1w96p3eqbs3az","d3ntgu49th--1w96p3eqbs3az","Argiusta-Moriccio (Corse-du-Sud)","Argiusta-Moriccio","arrondissement : 2A4 | canton : Petreto-Bicchisano","1er janvier 1976 : Argiusta-Moriccio est rattaché au département (Anc. 20021).","Corse-du-Sud (Corse, département) [d3ntb7h3jn-16it3tcjqcvnn]","2A021","POINT(1201100 6098400)","http://id.insee.fr/geo/commune/2A021 | http://data.ign.fr/id/geofla/commune/2A021 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2A021","Forciolo (Corse-du-Sud) [d3ntguhc63--1vnvceunzpo28] | Aullène (Corse-du-Sud) [d3ntgu52x3--1ik8ujgvrnm1l] | Zigliara (Corse-du-Sud) [d3ntgv92fb-1o0bfzkhjsfdg] | Moca-Croce (Corse-du-Sud) [d3ntgunb2y-1b98a05gaersq] | Olivese (Corse-du-Sud) [d3ntguowf5-1qp2e21ag808a]"
