"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntgvadms--136fkocxpz79d","d3ntgvadms--136fkocxpz79d","Aghione (Haute-Corse)","Aghione","arrondissement : 2B3 | canton : Vezzani","1er janvier 1976 : Aghione est rattaché au département (Anc. 20002).","Haute-Corse (Corse, département) [d3ntb7tpii-1p2n1v4tubx8y]","2B002","POINT(1231200 6133400)","http://id.insee.fr/geo/commune/2B002 | http://data.ign.fr/id/geofla/commune/2B002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2B002","Aléria (Haute-Corse) [d3ntgvc1rv-wph1cytig5r9] | Vezzani (Haute-Corse) [d3ntgxyb41-1cb0vivbrfo8f] | Pietroso (Haute-Corse) [d3ntgwzqwh--fg815t5xvitb] | Ghisonaccia (Haute-Corse) [d3ntgw79x0--9uf1nlmtw6xc] | Antisanti (Haute-Corse) [d3ntgvdspu-1bz8hxzthjdw6] | Casevecchie (Haute-Corse) [d3ntgvvfbo-exu9bcuwo4nq]"
"place/FRAN_RI_005-d3ntgvau8b--m95lcvonrbn4","d3ntgvau8b--m95lcvonrbn4","Aiti (Haute-Corse)","Aiti","arrondissement : 2B3 | canton : Bustanico","1er janvier 1976 : Aiti est rattaché au département (Anc. 20003).","Haute-Corse (Corse, département) [d3ntb7tpii-1p2n1v4tubx8y]","2B003","POINT(1214300 6164600)","http://id.insee.fr/geo/commune/2B003 | http://data.ign.fr/id/geofla/commune/2B003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2B003","Lano (Haute-Corse) [d3ntgw9h0z--y1uv69qmbyxf] | Saliceto (Haute-Corse) [d3ntgxaqvv--1o3yrylva2poh] | Omessa (Haute-Corse) [d3ntgwppu9--1ona9y7t799pz] | San-Lorenzo (Haute-Corse) [d3ntgxj6to--199abmkqpjhff]"
"place/FRAN_RI_005-d3ntgvb7lg-83ziq3gddc5p","d3ntgvb7lg-83ziq3gddc5p","Alando (Haute-Corse)","Alando","arrondissement : 2B3 | canton : Bustanico","1er janvier 1976 : Alando est rattaché au département (Anc. 20005).","Haute-Corse (Corse, département) [d3ntb7tpii-1p2n1v4tubx8y]","2B005","POINT(1218900 6154700)","http://id.insee.fr/geo/commune/2B005 | http://data.ign.fr/id/geofla/commune/2B005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2B005","Bustanico (Haute-Corse) [d3ntgvls9v-i6t7n6df63i6] | Alzi (Haute-Corse) [d3ntgvd3hw--1r5xn7idyhen6] | Sant'Andréa-di-Bozio (Haute-Corse) [d3ntgxfi96--e4nr8elxujmb] | Favalello (Haute-Corse) [d3ntgw3ge1-jjtgzkhdw660] | Sermano (Haute-Corse) [d3ntgxboig-7wfx8gowmh44]"
"place/FRAN_RI_005-d3ntgvbnz8--13t5ntlgh47i2","d3ntgvbnz8--13t5ntlgh47i2","Albertacce (Haute-Corse)","Albertacce","arrondissement : 2B3 | canton : Niolu-Omessa","1er janvier 1976 : Albertacce est rattaché au département (Anc. 20007).","Haute-Corse (Corse, département) [d3ntb7tpii-1p2n1v4tubx8y]","2B007","POINT(1193500 6155000)","http://id.insee.fr/geo/commune/2B007 | http://data.ign.fr/id/geofla/commune/2B007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2B007","Cristinacce (Corse-du-Sud) [d3ntguf82r--1tjfljne361qz] | Calacuccia (Haute-Corse) [d3ntgvoikh-1270shc4cxaek] | Asco (Haute-Corse) [d3ntgvi3x4--l8uq6k3zrzkt] | Manso (Haute-Corse) [d3ntgwdozv-1fsd9bj4um8sx] | Letia (Corse-du-Sud) [d3ntgul3r8--6n7o6mxlhlbq] | Lozzi (Haute-Corse) [d3ntgwc4qh-o3wzih749mc1] | Evisa (Corse-du-Sud) [d3ntgugbiv--1eaugxibowvba] | Casamaccioli (Haute-Corse) [d3ntgvut4e-1jeht2klwrk2z]"
"place/FRAN_RI_005-d3ntgvc1rv-wph1cytig5r9","d3ntgvc1rv-wph1cytig5r9","Aléria (Haute-Corse)","Aléria","arrondissement : 2B3 | canton : Moïta-Verde","1er janvier 1976 : Aléria est rattaché au département (Anc. 20009).Galéria est rattaché au département (Anc. 20121).","Haute-Corse (Corse, département) [d3ntb7tpii-1p2n1v4tubx8y]","2B009","POINT(1239000 6134800)","http://id.insee.fr/geo/commune/2B009 | http://data.ign.fr/id/geofla/commune/2B009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2B009","Aghione (Haute-Corse) [d3ntgvadms--136fkocxpz79d] | Pancheraccia (Haute-Corse) [d3ntgws2rq--142iq3lku3nvy] | Giuncaggio (Haute-Corse) [d3ntgw87rc-1c9u3acfx4kc4] | Ghisonaccia (Haute-Corse) [d3ntgw79x0--9uf1nlmtw6xc] | Antisanti (Haute-Corse) [d3ntgvdspu-1bz8hxzthjdw6] | Tallone (Haute-Corse) [d3ntgxoahb--d9inhuxj4y6v]"
"place/FRAN_RI_005-d3ntgvce9y-1vbu0y9freuhd","d3ntgvce9y-1vbu0y9freuhd","Algajola (Haute-Corse)","Algajola","arrondissement : 2B5 | canton : Belgodère","1er janvier 1976 : Algajola est rattaché au département (Anc. 20010).","Haute-Corse (Corse, département) [d3ntb7tpii-1p2n1v4tubx8y]","2B010","POINT(1181200 6185400)","http://id.insee.fr/geo/commune/2B010 | http://data.ign.fr/id/geofla/commune/2B010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2B010","Aregno (Haute-Corse) [d3ntgvhn3u--10p2io6n6bgzo] | Lumio (Haute-Corse) [d3ntgwd2kt--11yeko5m6q7ei]"
"place/FRAN_RI_005-d3ntgvcr7k--68phsssas5mr","d3ntgvcr7k--68phsssas5mr","Altiani (Haute-Corse)","Altiani","arrondissement : 2B3 | canton : Bustanico","1er janvier 1976 : Altiani est rattaché au département (Anc. 20012).","Haute-Corse (Corse, département) [d3ntb7tpii-1p2n1v4tubx8y]","2B012","POINT(1219600 6147000)","http://id.insee.fr/geo/commune/2B012 | http://data.ign.fr/id/geofla/commune/2B012 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2B012","Venaco (Haute-Corse) [d3ntgxwl8v-21muilvlkdax] | Focicchia (Haute-Corse) [d3ntgw61an-hlzyhyq62hx5] | Rospigliani (Haute-Corse) [d3ntgx9t9a-1apmyqyrlcrp7] | Erbajolo (Haute-Corse) [d3ntgw274e-17t5m6lb7yim5] | Noceta (Haute-Corse) [d3ntgwlxlu-1hppuq0omn79y] | Vezzani (Haute-Corse) [d3ntgxyb41-1cb0vivbrfo8f] | Piedicorte-di-Gaggio (Haute-Corse) [d3ntgwvii2-1cfsnpmyc9pct]"
"place/FRAN_RI_005-d3ntgvd3hw--1r5xn7idyhen6","d3ntgvd3hw--1r5xn7idyhen6","Alzi (Haute-Corse)","Alzi","arrondissement : 2B3 | canton : Bustanico","1er janvier 1976 : Alzi est rattaché au département (Anc. 20013).","Haute-Corse (Corse, département) [d3ntb7tpii-1p2n1v4tubx8y]","2B013","POINT(1219900 6154400)","http://id.insee.fr/geo/commune/2B013 | http://data.ign.fr/id/geofla/commune/2B013 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2B013","Alando (Haute-Corse) [d3ntgvb7lg-83ziq3gddc5p] | Bustanico (Haute-Corse) [d3ntgvls9v-i6t7n6df63i6] | Sant'Andréa-di-Bozio (Haute-Corse) [d3ntgxfi96--e4nr8elxujmb] | Mazzola (Haute-Corse) [d3ntgwemmg--1kiynfoemmouw]"
"place/FRAN_RI_005-d3ntgvdgn9-6qool4eyym5x","d3ntgvdgn9-6qool4eyym5x","Ampriani (Haute-Corse)","Ampriani","arrondissement : 2B3 | canton : Moïta-Verde","1er janvier 1976 : Ampriani est rattaché au département (Anc. 20015).","Haute-Corse (Corse, département) [d3ntb7tpii-1p2n1v4tubx8y]","2B015","POINT(1224900 6149300)","http://id.insee.fr/geo/commune/2B015 | http://data.ign.fr/id/geofla/commune/2B015 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2B015","Pietraserena (Haute-Corse) [d3ntgwz49o-auwbcyhn0elu] | Zalana (Haute-Corse) [d3ntgy0cm8--1wu5g5g3tx7pv] | Zuani (Haute-Corse) [d3ntgy116w--1bt1jqnarc1i9]"
"place/FRAN_RI_005-d3ntgvdspu-1bz8hxzthjdw6","d3ntgvdspu-1bz8hxzthjdw6","Antisanti (Haute-Corse)","Antisanti","arrondissement : 2B3 | canton : Vezzani","1er janvier 1976 : Antisanti est rattaché au département (Anc. 20016).","Haute-Corse (Corse, département) [d3ntb7tpii-1p2n1v4tubx8y]","2B016","POINT(1224800 6139600)","http://id.insee.fr/geo/commune/2B016 | http://data.ign.fr/id/geofla/commune/2B016 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/2B016","Aghione (Haute-Corse) [d3ntgvadms--136fkocxpz79d] | Aléria (Haute-Corse) [d3ntgvc1rv-wph1cytig5r9] | Giuncaggio (Haute-Corse) [d3ntgw87rc-1c9u3acfx4kc4] | Vezzani (Haute-Corse) [d3ntgxyb41-1cb0vivbrfo8f] | Casevecchie (Haute-Corse) [d3ntgvvfbo-exu9bcuwo4nq] | Piedicorte-di-Gaggio (Haute-Corse) [d3ntgwvii2-1cfsnpmyc9pct]"
