"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntkmxliq--8walpfm9sxfi","d3ntkmxliq--8walpfm9sxfi","Ablancourt (Marne)","Bellay | Ablancourt","arrondissement : 514 | canton : Vitry-le-François-Est",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51001","POINT(811700 6858100)","http://id.insee.fr/geo/commune/51001 | http://data.ign.fr/id/geofla/commune/51001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51001","La Chaussée-sur-Marne (Marne) [d3ntkohjhr--1964b1yfp28md] | Songy (Marne) [d3ntkt02n1-uwyoii21o4vj] | Aulnay-l'Aître (Marne) [d3ntkn5h73--19d48nwu9py0k] | Soulanges (Marne) [d3ntkt1bh5--15tvhlxavhfa1] | Saint-Martin-aux-Champs (Marne) [d3ntksgvc9-1duu2x981ijjl]"
"place/FRAN_RI_005-d3ntkmybdy--g511bbzd2x5z","d3ntkmybdy--g511bbzd2x5z","Aigny (Marne)","Bricot-la-Ville | Aigny","arrondissement : 511 | canton : Châlons-en-Champagne 2e Canton",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51003","POINT(788300 6882400)","http://id.insee.fr/geo/commune/51003 | http://data.ign.fr/id/geofla/commune/51003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51003","Condé-sur-Marne (Marne) [d3ntkot02n-q453ncl7ifc5] | Les Grandes-Loges (Marne) [d3ntkq5741-1xe5eojz7t7fu] | Isse (Marne) [d3ntkqdw3r-1myhjv23xp4ek] | Vaudemange (Marne) [d3ntkthikc-x0vwtlqay85e] | Jâlons (Marne) [d3ntkqem6r-j8a7sfkkxj8h] | Aulnay-sur-Marne (Marne) [d3ntkn5ucg--8uylkmfwq4xu] | Vraux (Marne) [d3ntku3hvt--y5sz4ohcnmoo]"
"place/FRAN_RI_005-d3ntkmyojb--yyin8dh61msq","d3ntkmyojb--yyin8dh61msq","Allemanche-Launay-et-Soyer (Marne)","Soyer | Allemanche-Launay-et-Soyer | Allemanche-Launay","arrondissement : 512 | canton : Anglure",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51004","POINT(758000 6834000)","http://id.insee.fr/geo/commune/51004 | http://data.ign.fr/id/geofla/commune/51004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51004","Anglure (Marne) [d3ntkn1grs-1fppc6iby27o0] | La Chapelle-Lasson (Marne) [d3ntkobua3-1jw1m694tryqy] | Baudement (Marne) [d3ntkndfw2--r13ialurypht] | Marsangis (Marne) [d3ntkqzjco-ivu18xd57gr5] | Saint-Quentin-le-Verger (Marne) [d3ntksks3n--b7b5eb9nnxkt] | Villeneuve-Saint-Vistre-et-Villevotte (Marne) [d3ntktryi1--1sumhuva6n3nf]"
"place/FRAN_RI_005-d3ntkmz1gx--4jkg4h3jgxbg","d3ntkmz1gx--4jkg4h3jgxbg","Allemant (Marne)","Allemant | Chappelaines | Chapelaine | Allement","arrondissement : 512 | canton : Sézanne",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51005","POINT(758800 6851500)","http://id.insee.fr/geo/commune/51005 | http://data.ign.fr/id/geofla/commune/51005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51005","Broussy-le-Grand (Marne) [d3ntknxgpz--v1s84hwz5ctc] | Mondement-Montgivroux (Marne) [d3ntkr7oy0-uwc17up70p73] | Broussy-le-Petit (Marne) [d3ntknxtnl-1eu95brjod6o5] | Broyes (Marne) [d3ntkny6l7--mbdfgcma83qm] | Péas (Marne) [d3ntkrpe4z--1n9augl43v8w2] | Connantre (Marne) [d3ntkouggd--15oln0mmpd7p5] | Saint-Loup (Marne) [d3ntkseo0j-1g5d4l59e3tj3] | Reuves (Marne) [d3ntks28q8--habwkjor8pwu] | Linthes (Marne) [d3ntkqo2zj-5nh9cwcos40v]"
"place/FRAN_RI_005-d3ntkmzeej--1t5o9zsej2cie","d3ntkmzeej--1t5o9zsej2cie","Alliancelles (Marne)","Alliancelles | Ailliancelles","arrondissement : 514 | canton : Heiltz-le-Maurupt",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51006","POINT(838200 6858300)","http://id.insee.fr/geo/commune/51006 | http://data.ign.fr/id/geofla/commune/51006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51006","Sermaize-les-Bains (Marne) [d3ntkss1kp--9y2qmfax3qrl] | Heiltz-le-Maurupt (Marne) [d3ntkq973t--y4jlk6ps9wh5] | Bettancourt-la-Longue (Marne) [d3ntknjw1r--1mtoxbc86kvaj] | Rancourt-sur-Ornain (Meuse) [d3ntlehdi4--1wkbg19gb2bt2] | Remennecourt (Meuse) [d3ntlejuqt--1my60q44t0dhw] | Villers-le-Sec (Marne) [d3ntktu4qy--n4i1zbnjlnrb]"
"place/FRAN_RI_005-d3ntkmzrc5-12in3iz8ykic","d3ntkmzrc5-12in3iz8ykic","Ambonnay (Marne)","Domprot | Domprost | Ambonnay","arrondissement : 512 | canton : Ay","1er janvier 2006 : Ambonnay passe de l'arrondissement de Reims à l'arrondissement d'Épernay.","Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51007","POINT(785600 6887000)","http://id.insee.fr/geo/commune/51007 | http://data.ign.fr/id/geofla/commune/51007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51007","Condé-sur-Marne (Marne) [d3ntkot02n-q453ncl7ifc5] | Isse (Marne) [d3ntkqdw3r-1myhjv23xp4ek] | Vaudemange (Marne) [d3ntkthikc-x0vwtlqay85e] | Trépail (Marne) [d3ntkta01d-115pwvz0npexm] | Verzy (Marne) [d3ntktmwkg-12qy4p682zwek] | Tauxières-Mutry (Marne) [d3ntkt48o3--353zilm93clw] | Bouzy (Marne) [d3ntknsdpm-fp7xko3pvgn0] | Tours-sur-Marne (Marne) [d3ntkt7o6o--ip2jverl5bev]"
"place/FRAN_RI_005-d3ntkn04hi--1xkpqcm4wmkrb","d3ntkn04hi--1xkpqcm4wmkrb","Ambrières (Marne)","Ecury-le-Petit | Ambrières","arrondissement : 514 | canton : Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51008","POINT(835300 6838600)","http://id.insee.fr/geo/commune/51008 | http://data.ign.fr/id/geofla/commune/51008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51008","Eclaron-Braucourt-Sainte-Livière (Haute-Marne) [d3ntkvp8iv-lz1d21iynf7r] | Hauteville (Marne) [d3ntkq83fy--turkb9kncl1b] | Sapignicourt (Marne) [d3ntksp9jz-1kh2q49o0tg26] | Sainte-Marie-du-Lac-Nuisement (Marne) [d3ntkq4s8l--18kfx9ljntbq4] | Hallignicourt (Haute-Marne) [d3ntkw7c5s-138j0bpav16u8] | Laneuville-au-Pont (Haute-Marne) [d3ntkwfjox-4zgdruouoo1n] | Landricourt (Marne) [d3ntkqjy91-oiz7xvo54jca]"
"place/FRAN_RI_005-d3ntkn1grs-1fppc6iby27o0","d3ntkn1grs-1fppc6iby27o0","Anglure (Marne)","Farremont | Farémont | Anglure","arrondissement : 512 | canton : Anglure",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51009","POINT(760000 6831900)","http://id.insee.fr/geo/commune/51009 | http://data.ign.fr/id/geofla/commune/51009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51009","Granges-sur-Aube (Marne) [d3ntkq5k9e--1njmzavw0n42] | Baudement (Marne) [d3ntkndfw2--r13ialurypht] | Allemanche-Launay-et-Soyer (Marne) [d3ntkmyojb--yyin8dh61msq] | Bagneux (Marne) [d3ntkn98cp--1pepdj5unrszs] | Marsangis (Marne) [d3ntkqzjco-ivu18xd57gr5]"
"place/FRAN_RI_005-d3ntkn1uco-1dskafksy8rfp","d3ntkn1uco-1dskafksy8rfp","Angluzelles-et-Courcelles (Marne)","Fayelle | Fayel | Angluzelles-et-Courcelles | Angluzelle-et-Courcelles","arrondissement : 512 | canton : Fère-Champenoise",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51010","POINT(764700 6840200)","http://id.insee.fr/geo/commune/51010 | http://data.ign.fr/id/geofla/commune/51010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51010","Faux-Fresnay (Marne) [d3ntkppxfo-644y91d0x9xl] | Marigny (Marne) [d3ntkqythg-19fx2kpssw3xt] | Thaas (Marne) [d3ntkt4kqo-13s7x73feqp1n] | Corroy (Marne) [d3ntkozc4w--15b60twm6kwel] | Ognes (Marne) [d3ntkrjq04-1oftrgituqlf4] | Pleurs (Marne) [d3ntkrs1mq-byx1x62dd3uc]"
"place/FRAN_RI_005-d3ntkn27i1--ugfev7r4dds5","d3ntkn27i1--ugfev7r4dds5","Anthenay (Marne)","Hancourt | Anthenay | Antenay","arrondissement : 513 | canton : Châtillon-sur-Marne",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51012","POINT(753500 6893700)","http://id.insee.fr/geo/commune/51012 | http://data.ign.fr/id/geofla/commune/51012 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51012","Cuisles (Marne) [d3ntkp8kqs--1ioi5czexhesn] | Passy-Grigny (Marne) [d3ntkrp357-zgd2iqziyz4m] | Châtillon-sur-Marne (Marne) [d3ntkofq6f-b1q55zb5bk84] | Vandières (Marne) [d3ntktdp1d-14e54i1zvmwld] | Olizy (Marne) [d3ntkrkcmx-db6awt1zl1b9] | Villers-Agron-Aiguizy (Aisne) [d3ntd0ru1t-1dlwjbdlrf3vh]"
"place/FRAN_RI_005-d3ntkn2kfn--1gwjcgnfhb5is","d3ntkn2kfn--1gwjcgnfhb5is","Aougny (Marne)","Henruelle | Henruel | Aougny","arrondissement : 513 | canton : Ville-en-Tardenois",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]","51013","POINT(752800 6898000)","http://id.insee.fr/geo/commune/51013 | http://data.ign.fr/id/geofla/commune/51013 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/51013","Lhéry (Marne) [d3ntkqn4xf-103gjagmn4rtf] | Romigny (Marne) [d3ntks4fmg--1e5v5hezox49s] | Lagery (Marne) [d3ntkqjlbf--5vyz62oik844] | Vézilly (Aisne) [d3ntd0lzvo--kja80q9u42y4] | Villers-Agron-Aiguizy (Aisne) [d3ntd0ru1t-1dlwjbdlrf3vh]"
