"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntxjik5z--1c5k29p79bd6t","d3ntxjik5z--1c5k29p79bd6t","Belep (Nouvelle-Calédonie)","Belep",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98801",,"http://id.insee.fr/geo/commune/98801 | http://data.ign.fr/id/geofla/commune/98801 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98801",
"place/FRAN_RI_005-d3ntxjjntv-1c2wj916s8n85","d3ntxjjntv-1c2wj916s8n85","Bouloupari (Nouvelle-Calédonie)","Bouloupari",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98802",,"http://id.insee.fr/geo/commune/98802 | http://data.ign.fr/id/geofla/commune/98802 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98802",
"place/FRAN_RI_005-d3ntxjk16z-1pg3c4r3cilo6","d3ntxjk16z-1pg3c4r3cilo6","Bourail (Nouvelle-Calédonie)","Bourail",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98803",,"http://id.insee.fr/geo/commune/98803 | http://data.ign.fr/id/geofla/commune/98803 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98803",
"place/FRAN_RI_005-d3ntxjkcu1-muq84p3gw83d","d3ntxjkcu1-muq84p3gw83d","Canala (Nouvelle-Calédonie)","Canala",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98804",,"http://id.insee.fr/geo/commune/98804 | http://data.ign.fr/id/geofla/commune/98804 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98804",
"place/FRAN_RI_005-d3ntxjkrhq--160ktx1sg3io5","d3ntxjkrhq--160ktx1sg3io5","Dumbéa (Nouvelle-Calédonie)","Dumbéa",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98805",,"http://id.insee.fr/geo/commune/98805 | http://data.ign.fr/id/geofla/commune/98805 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98805",
"place/FRAN_RI_005-d3ntxjl4fc--1d9zykp4geof5","d3ntxjl4fc--1d9zykp4geof5","Farino (Nouvelle-Calédonie)","Farino",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98806",,"http://id.insee.fr/geo/commune/98806 | http://data.ign.fr/id/geofla/commune/98806 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98806",
"place/FRAN_RI_005-d3ntxjlfum-18pi6iey4rhj8","d3ntxjlfum-18pi6iey4rhj8","Hienghène (Nouvelle-Calédonie)","Hienghène",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98807",,"http://id.insee.fr/geo/commune/98807 | http://data.ign.fr/id/geofla/commune/98807 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98807",
"place/FRAN_RI_005-d3ntxjly68-14rlq8x10qmdt","d3ntxjly68-14rlq8x10qmdt","Houaïlou (Nouvelle-Calédonie)","Houaïlou",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98808",,"http://id.insee.fr/geo/commune/98808 | http://data.ign.fr/id/geofla/commune/98808 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98808",
"place/FRAN_RI_005-d3ntxjmmqw-w77287uad0qz","d3ntxjmmqw-w77287uad0qz","Kaala-Gomen (Nouvelle-Calédonie)","Kaala-Gomen",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98810",,"http://id.insee.fr/geo/commune/98810 | http://data.ign.fr/id/geofla/commune/98810 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98810",
"place/FRAN_RI_005-d3ntxjmy66--1tdyx163or2ev","d3ntxjmy66--1tdyx163or2ev","Koné (Nouvelle-Calédonie)","Koné",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98811",,"http://id.insee.fr/geo/commune/98811 | http://data.ign.fr/id/geofla/commune/98811 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98811",
"place/FRAN_RI_005-d3ntxjvpbi-a8worn79ywz7","d3ntxjvpbi-a8worn79ywz7","Kouaoua (Nouvelle-Calédonie)","Kouaoua",,,"Nouvelle-Calédonie (pays et territoires d'outre-mer) [d3ntb8gfch--1r1nlfgtk4z0r]","98833",,"http://id.insee.fr/geo/commune/98833 | http://data.ign.fr/id/geofla/commune/98833 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98833",
