"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Type de lieu (rico:hasOrHadPlaceType)","Description (rico:descriptiveNote)","Nom et id du lieu dans lequel le lieu-dit est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"place/FRAN_RI_005-d-9oh5o8mb8--3ox8je42ybdr","d-9oh5o8mb8--3ox8je42ybdr","Aigle, barrage de l' (Cantal ; barrage)",,"barrage",,"Cantal (Auvergne, département) [d3ntb7ejxl-47nz85a9e01t]","http://www.wikidata.org/entity/Q11982847 | https://sws.geonames.org/3038553/",
"place/FRAN_RI_005-d3m08zvvhk4--f9io5to3kvl7","d3m08zvvhk4--f9io5to3kvl7","Aiguevives (Loir-et-Cher, abbaye d')",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d-3cmx7ni6c--vw3t6jr6bo63","d-3cmx7ni6c--vw3t6jr6bo63","Allègre, château d' (Allègre-les-Fumades ; château)",,"château","Le château d'Allègre est un château situé sur la commune d'Allègre-les-Fumades dans le département du Gard. (Source : https://fr.wikipedia.org/wiki/Ch%C3%A2teau_d%27All%C3%A8gre_(Gard))","Allègre-les-Fumades (Gard) [d3ntgy5a8l--1h3xq88zigmrf]","http://www.wikidata.org/entity/Q15944307 | https://sws.geonames.org/12171500/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zziwsl--175iirbdy6jko","d3m08zziwsl--175iirbdy6jko","Amboise (Indre-et-Loire, château d')",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d3m08yvx3gs-1m817mfvnk41t","d3m08yvx3gs-1m817mfvnk41t","Ancy-le-Franc (Yonne, château d')",,"aménagement ou construction",,"Yonne (Bourgogne, département) [d3ntb918mq--w6r60hxod5vb]",,
"place/FRAN_RI_005-d3m08zjyges--14h0xsbj535cg","d3m08zjyges--14h0xsbj535cg","Anet (Eure-et-Loir, château d')",,"aménagement ou construction",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]",,
"place/FRAN_RI_005-d3m08z5cliz--1c7hs6vriy428","d3m08z5cliz--1c7hs6vriy428","Angervilliers (Essonne, château d')",,"aménagement ou construction",,"Essonne (Ile-de-France, département) [d3ntb7nvrw--x5v56woc2tqj]",,
"place/FRAN_RI_005-d3m08zb1cbh--1molwjx1oesfy","d3m08zb1cbh--1molwjx1oesfy","Arcueil (Val-de-Marne, château d')",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08zkquhb-m1kl5etjev0a","d3m08zkquhb-m1kl5etjev0a","Argensolles (Marne, abbaye d')",,"aménagement ou construction",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]",,
"place/FRAN_RI_005-d3m08z3aapo-54lpubztfs1r","d3m08z3aapo-54lpubztfs1r","Aubepierre (Creuse, abbaye d')",,"aménagement ou construction",,"Creuse (Limousin, département) [d3ntb7il7x--1vk7pyy7wolw8]",,
