"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant de la ville ou du territoire dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Description (rico:descriptiveNote)","Nom et id du pays dans lequel la ville ou le territoire est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3m08zpxah1-190bwee41vjy9","d3m08zpxah1-190bwee41vjy9","Aarau (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m090098dz-10e3syl2u14cw","d3m090098dz-10e3syl2u14cw","Aarschot (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zpbqt4--1mlun66c3s1bp","d3m08zpbqt4--1mlun66c3s1bp","Aberdeen (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zmsonn-c08kv9i9ersn","d3m08zmsonn-c08kv9i9ersn","Aboukir (Egypte)",,,,,"Egypte [d5bdp2m9bi--7qyiku2nrvrt]",,
"place/FRAN_RI_005-d5bdpjf19e--e0vhmv05pfbf","d5bdpjf19e--e0vhmv05pfbf","Afrique Equatoriale Française (1910-1958)","AEF","1910","1958","1910-1958 : correspondait aux colonies françaises d’Afrique subsaharienne situées à l’est du lac Tchad : Gabon Moyen-Congo. Oubangui-Chari Tchad, capitale Brazzaville.",,,
"place/FRAN_RI_005-d5bdp4q7h6-ul70lkju24s3","d5bdp4q7h6-ul70lkju24s3","Afrique Occidentale Française (1895-1958)","AOF","1895","1958","1895-1958 : correspondait aux colonies françaises d’Afrique subsaharienne situées à l’Ouest du lac Tchad : Cote d’Ivoire Dahomey, Haute-Volta, Mauritanie, Niger, Soudan, Guinée et Sénégal, capitale Dakar.",,,
"place/FRAN_RI_005-d3m08zruvc6-1vuarsmn4thim","d3m08zruvc6-1vuarsmn4thim","Agrano (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3ntxm9iac--18tuqblaxgt3d","d3ntxm9iac--18tuqblaxgt3d","Aix-la-Chapelle (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08ztu4tb-3ykhsr6bepme","d3m08ztu4tb-3ykhsr6bepme","Albany (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08yxinqf--ftgt4f0vhnaz","d3m08yxinqf--ftgt4f0vhnaz","Alep (Syrie)",,,,,"Syrie [d3ntxltulk--gas4jyk9me5c]",,
