"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant du pays dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3ntxjwkcy-n5udqm0kztt8","d3ntxjwkcy-n5udqm0kztt8","Afghanistan",,,,,
"place/FRAN_RI_005-d3ntxjww00-1wndktbapi68k","d3ntxjww00-1wndktbapi68k","Afrique du Sud",,,,,
"place/FRAN_RI_005-d3ntxjxafy-1uteno2og8qy0","d3ntxjxafy-1uteno2og8qy0","Albanie",,,,,
"place/FRAN_RI_005-d3ntxjxn5s-6kuyi0i46073","d3ntxjxn5s-6kuyi0i46073","Algérie",,,,,
"place/FRAN_RI_005-d3ntxjxyl2-de3n2j7xfcc0","d3ntxjxyl2-de3n2j7xfcc0","Allemagne",,,,,
"place/FRAN_RI_005-d3ntxjyave--1a1ipo7eke3sm","d3ntxjyave--1a1ipo7eke3sm","Andorre",,,,,
"place/FRAN_RI_005-d3ntxjymap--3f1b4bnmsm3c","d3ntxjymap--3f1b4bnmsm3c","Angola",,,,,
"place/FRAN_RI_005-d3ntxjyyl0--1r94c2q21qpj4","d3ntxjyyl0--1r94c2q21qpj4","Antigua-et-Barbuda",,,,,
"place/FRAN_RI_005-d3ntxjza82-h4ls8zg4dnin","d3ntxjza82-h4ls8zg4dnin","Arabie saoudite",,,,,
"place/FRAN_RI_005-d3ntxjzlnd-1npa3rvzff1kd","d3ntxjzlnd-1npa3rvzff1kd","Argentine",,,,,
"place/FRAN_RI_005-d3ntxjzxxo-bgu26jl9r2f","d3ntxjzxxo-bgu26jl9r2f","Arménie",,,,,
"place/FRAN_RI_005-d3ntxk09kq-wy6iavfruhz8","d3ntxk09kq-wy6iavfruhz8","Australie",,,,,
"place/FRAN_RI_005-d3ntxk0ks9-1dn4hde9xnd6e","d3ntxk0ks9-1dn4hde9xnd6e","Autriche",,,,,
"place/FRAN_RI_005-d5bdoym1cq--z9y2q89zqnhl","d5bdoym1cq--z9y2q89zqnhl","Autriche-Hongrie (1867-1918)","Empire Austro-Hongrois","1867","1918",,
"place/FRAN_RI_005-d3ntxk1ebe-tfscfdzsbl8","d3ntxk1ebe-tfscfdzsbl8","Azerbaïdjan",,,,,
"place/FRAN_RI_005-d3ntxk1pix-1eidrwgxpkla9","d3ntxk1pix-1eidrwgxpkla9","Bahamas",,,,,
"place/FRAN_RI_005-d3ntxk20y7-1kvcp8en098fl","d3ntxk20y7-1kvcp8en098fl","Bahreïn",,,,,
"place/FRAN_RI_005-d3ntxk2cl9-45jcb59020n4","d3ntxk2cl9-45jcb59020n4","Bangladesh",,,,,
