"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la région dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)","Précède dans le temps la région","Suit dans le temps la région","Code INSEE","chef-lieu","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3ntb5n2ct-ucurm8b2xf66","d3ntb5n2ct-ucurm8b2xf66","Alsace (1982-2015 ; région administrative)","1982","2015","En 1982, la région Alsace est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Strasbourg. En 2016, la région Alsace est regroupée au sein de la nouvelle région Grand Est.","Grand Est (2016-.... ; région administrative) [d-2i7639zb5-1uyr7picq5c94]",,"42","Strasbourg (Bas-Rhin) [d3ntqwqrs7--18ur2qvb0fqny]","http://id.insee.fr/geo/region/42 | http://www.wikidata.org/entity/Q1142",
"place/FRAN_RI_005-d3ntb5nfpx-1hpcdq0uyfemt","d3ntb5nfpx-1hpcdq0uyfemt","Aquitaine (1982-2015 ; région administrative)","1982","2015","En 1982, la région Aquitaine est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Bordeaux. En 2016, la région Aquitaine est regroupée au sein de la nouvelle région Nouvelle-Aquitaine.","Nouvelle-Aquitaine (2016-.... ; région administrative) [d-58pfliq32-z6atygawp5v3]",,"72","Bordeaux (Gironde) [d3nthgzjyg--1agu3t745d3a]","http://id.insee.fr/geo/region/72 | http://www.wikidata.org/entity/Q1179",
"place/FRAN_RI_005-d3ntb5nsnj--jrkyz6vwvi4f","d3ntb5nsnj--jrkyz6vwvi4f","Auvergne (1982-2015 ; région administrative)","1982","2015","En 1982, la région Auvergne est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Clermont-Ferrand. En 2016, la région Auvergne est regroupée au sein de la nouvelle région Auvergne-Rhône-Alpes.","Auvergne-Rhône-Alpes (2016-.... ; région administrative) [d-5f0vj727s--1abiwfn04l9rn]",,"83","Clermont-Ferrand (Puy-de-Dôme) [d3ntpi57ck-byearnmr8vgx]","http://id.insee.fr/geo/region/83 | http://www.wikidata.org/entity/Q1152",
"place/FRAN_RI_005-d-5f0vj727s--1abiwfn04l9rn","d-5f0vj727s--1abiwfn04l9rn","Auvergne-Rhône-Alpes (2016-.... ; région administrative)","2016",,"En 2016, la région Auvergne-Rhône-Alpes est créée suite au regroupement des régions Auvergne et Rhône-Alpes. La région Auvergne-Rhône-Alpes conserve sa dénomination. Le chef-lieu de la région Auvergne-Rhône-Alpes est fixé à Lyon.",,"Rhône-Alpes (1982-2015 ; région administrative) [d3ntb6zkth-auq4chs5b3rr] | Auvergne (1982-2015 ; région administrative) [d3ntb5nsnj--jrkyz6vwvi4f]","84","Lyon (Rhône) [d3ntr30aef-iiuzlggrj026]","http://id.insee.fr/geo/region/84 | http://www.wikidata.org/entity/Q1833820 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/84 | http://data.ign.fr/id/geofla/region/84",
"place/FRAN_RI_005-d3ntb5oh87-3l52f2cp6kyj","d3ntb5oh87-3l52f2cp6kyj","Basse-Normandie (1982-2015 ; région administrative)","1982","2015","En 1982, la région Basse-Normandie est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Caen. En 2016, la région Basse-Normandie est regroupée au sein de la nouvelle région Normandie.","Normandie (2016-.... ; région administrative) [d-5gu7ge1ty-1luyvscxcammt]",,"25","Caen (Calvados) [d3nte93blr--12kljc1z659a3]","http://id.insee.fr/geo/region/25 | http://www.wikidata.org/entity/Q16954",
"place/FRAN_RI_005-d3ntb5otij-1fcpt8sfdm8sx","d3ntb5otij-1fcpt8sfdm8sx","Bourgogne (1982-2015 ; région administrative)","1982","2015","En 1982, la région Bourgogne est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Dijon. En 2016, la région Bourgogne est regroupée au sein de la nouvelle région Bourgogne-Franche-Comté. La région Bourgogne-Franche-Comté est créée suite au regroupement des régions Bourgogne et Franche-Comté.","Bourgogne-Franche-Comté (2016-.... ; région administrative) [d-5hz0e8rtl-oyi86rp3dq0t]",,"26","Dijon (Côte-d'Or) [d3ntf2e7da--1sk1y5dfb1fkb]","http://id.insee.fr/geo/region/26 | http://www.wikidata.org/entity/Q1173",
"place/FRAN_RI_005-d-5hz0e8rtl-oyi86rp3dq0t","d-5hz0e8rtl-oyi86rp3dq0t","Bourgogne-Franche-Comté (2016-.... ; région administrative)","2016",,"En 2016, la région Bourgogne-Franche-Comté est créée suite au regroupement des régions Bourgogne et Franche-Comté. La région Bourgogne-Franche-Comté conserve sa dénomination. Le chef-lieu de la région Bourgogne-Franche-Comté est fixé à Dijon.",,"Franche-Comté (1982-2015 ; région administrative) [d3ntb5r73a--ewgdosvq0fl7] | Bourgogne (1982-2015 ; région administrative) [d3ntb5otij-1fcpt8sfdm8sx]","27","Dijon (Côte-d'Or) [d3ntf2e7da--1sk1y5dfb1fkb]","http://id.insee.fr/geo/region/27 | http://www.wikidata.org/entity/Q18578267 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/27 | http://data.ign.fr/id/geofla/region/27",
"place/FRAN_RI_005-d3ntb5pi36--1ordqhckxn18g","d3ntb5pi36--1ordqhckxn18g","Bretagne (1982-....; région administrative)","1982",,"En 1982, la région Bretagne est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Rennes.",,,"53","Rennes (Ille-et-Vilaine) [d3nthrv2j3--tfc468gvfbe8]","http://id.insee.fr/geo/region/53 | http://www.wikidata.org/entity/Q12130 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/53 | http://data.ign.fr/id/geofla/region/53",
"place/FRAN_RI_005-d3ntb5q6nu--1q74jpluucrzb","d3ntb5q6nu--1q74jpluucrzb","Centre-Val de Loire (1982-.... ; région administrative)","1982","2015","En 1982, la région Centre est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Orléans. En 2015, la région Centre est dénommée Centre-Val de Loire.",,,"24","Orléans (Loiret) [d3ntj3sufy--1gdg82iquvnqh]","http://id.insee.fr/geo/region/24 | http://www.wikidata.org/entity/Q13947 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/24 | http://data.ign.fr/id/geofla/region/24",
"place/FRAN_RI_005-d3ntb5qjlg-4hc4majg8u11","d3ntb5qjlg-4hc4majg8u11","Champagne-Ardenne (1982-2015 ; région administrative)","1982","2015","En 1982, la région Champagne-Ardenne est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Châlons-en-Champagne. En 2016, la région Champagne-Ardenne est regroupée au sein de la nouvelle région Grand Est.","Grand Est (2016-.... ; région administrative) [d-2i7639zb5-1uyr7picq5c94]",,"21","Châlons-en-Champagne (Marne) [d3ntko4mqv--1up2wgc8vdw48]","http://id.insee.fr/geo/region/21 | http://www.wikidata.org/entity/Q14103",
